model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,training_time_s,parameter_count,RMSE_Ts_full_seed_std,RMSE_Tr_full_seed_std,RMSE_H_full_seed_std,RMSE_q_full_seed_std,RMSE_Ts_measured_nodes_seed_std,RMSE_Tr_measured_nodes_seed_std,RMSE_supply_measured_C_seed_std,RMSE_return_measured_C_seed_std,RMSE_load_or_return_proxy_seed_std,heat_load_consistency_error_percent_seed_std,heat_loss_error_percent_seed_std,energy_balance_residual_seed_std,thermal_residual_mean_seed_std,hydraulic_residual_mean_seed_std,boundary_residual_mean_seed_std,thermal_delay_error_seed_std,inference_time_ms_seed_std,training_time_s_seed_std,parameter_count_seed_std,loss_mode,architecture
GRU-MSE,0.29982830286026,1.5939731836318969,3.7314882278442383,0.0142097247764467,0.3025932669639587,1.5969078302383424,0.3025932669639587,1.5969078302383424,1.5969078302383424,2.1224490880966185,0.9489150519337664,7.474319479663626,0.0815159812569617,2.7365373611450194,0.1051159381866454,0.3207152903079986,4.745910006264845,42.62310608001426,74580.0,0.0138760668484102,0.0864792596950023,0.3985464595196573,0.0013813235507868,0.0164780883077195,0.0899278275704039,0.0164780883077195,0.0899278275704039,0.0899278275704039,0.4796924422527314,0.0729289168890651,0.4733234489837118,0.0066995970216907,0.3260937153144464,0.0204175634818774,0.0242501075296853,2.0176068894452444,10.73102171850807,0.0,mse,gru
Proposed PI-GNN-GRU-v3 accuracy_mode,0.3147866785526275,1.2762975454330443,2.694751834869385,0.0097195200622081,0.3251522779464721,0.7870906472206116,0.3251522779464721,0.7870906472206116,0.7870906472206116,2.27344708442688,0.7336228488731911,3.945948989301336,0.0662451595067977,1.7912689924240113,0.1498419791460036,0.3042378008365631,98.87247999043514,668.382952899998,94600.0,0.0101349080247488,0.0781058993920709,0.3197116630674613,0.0011131079557491,0.0114477995231278,0.085036990936405,0.0114477995231278,0.085036990936405,0.085036990936405,0.2018126811205387,0.0824686344180309,0.3445618496520419,0.0048108504518943,0.2387247868205153,0.0195032646579828,0.0163151360973513,33.58758118939027,117.46876277570182,0.0,physics,pignn_v3
Proposed PI-GNN-GRU-v3 balanced_mode,0.3126395523548125,1.4701768159866333,3.1456998348236085,0.0128189230337738,0.3133132398128509,1.2831266403198245,0.3133132398128509,1.2831266403198245,1.2831266403198245,3.5933985710144043,0.9293687607658798,1.6342433673963526,0.0530424766242503,2.181517767906189,0.1586589694023132,0.2826234877109527,96.78982999563836,592.5878501200117,94600.0,0.0068561114463282,0.0909146115018902,0.5342247986060844,0.0011516300321003,0.0083476817597634,0.1569269355282893,0.0083476817597634,0.1569269355282893,0.1569269355282893,0.4078163041887024,0.0876404939275606,0.2980192237834236,0.0022791263021434,0.4040520962814508,0.0124987693143174,0.0107122873004005,36.42022406890933,75.8352347576205,0.0,physics,pignn_v3
Transformer-MSE,0.4136099576950073,1.5301090955734251,3.613560390472412,0.0150555888190865,0.4057244777679443,1.5334819316864017,0.4057244777679443,1.5334819316864017,1.5334819316864017,2.289535474777222,0.9085663374164932,5.721526205967271,0.1020247548818588,2.314448094367981,0.0533064015209674,0.4063780546188354,4.810144996736199,60.07350257998333,57812.0,0.0549087199891877,0.0521440392382869,0.5989757944566142,0.0028541898899064,0.0582436890006885,0.0465765472088694,0.0582436890006885,0.0465765472088694,0.0465765472088694,0.4575056111839559,0.040803431138608,0.9360084393839786,0.0116332437176652,0.3882605172728923,0.0218259389727508,0.0816671301889796,2.178611918259622,6.63233309494582,0.0,mse,transformer
Covariance-conditioned Gaussian observer,0.10243343089312745,0.16597884504634774,0.0005865882016002484,2.1637557352327206e-06,0.011956115351087683,0.009519866321632712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
