model,windows,runs,RMSE_Ts_full_mean,RMSE_Ts_full_between_run_std,RMSE_Ts_full_window_range,RMSE_Tr_full_mean,RMSE_Tr_full_between_run_std,RMSE_Tr_full_window_range,heat_loss_error_percent_mean,heat_loss_error_percent_between_run_std,heat_loss_error_percent_window_range,energy_balance_residual_mean,energy_balance_residual_between_run_std,energy_balance_residual_window_range,boundary_residual_mean_mean,boundary_residual_mean_between_run_std,boundary_residual_mean_window_range
GRU-MSE,3,9,0.45562954246997833,0.1970366830924322,0.4524767647186916,1.5183376868565877,0.3194760743108041,0.61504065990448,1.0007748120297009,0.12198475744518074,0.20636037506892568,4.79672908691831,1.1923909221724365,2.4392895378627957,0.29058045893907547,0.1773842661848895,0.34926544378201174
Proposed PI-GNN-GRU-v3 accuracy_mode,3,9,0.4528328478336334,0.15193461109402484,0.2872837285200755,1.712160309155782,0.5182010081279655,1.0608247518539426,1.2834133111109987,0.33752429912105714,0.7333777883066613,3.9164319315558203,1.3520536375246088,2.6741415662618495,0.3221341603332096,0.149015052636277,0.3089872101942699
Proposed PI-GNN-GRU-v3 balanced_mode,3,9,0.46150607864061993,0.10527592167947095,0.19918684164683026,1.6296366055806477,0.5094227112408843,1.0384676456451416,1.2271958297008618,0.3093270376324384,0.6548614205755054,2.6390770718105667,1.3792440595246447,3.005106274998571,0.26881183683872223,0.15414362278691685,0.30620536704858153
Transformer-MSE,3,9,0.3800068795681,0.13271693433359466,0.2957171003023784,1.5466582112842135,0.3248009689954044,0.6958604256312053,1.0465728157273588,0.1798490136979176,0.33751505344938815,2.824818556713163,0.9423844943384565,1.749887630324095,0.15708832773897377,0.04892919299902945,0.09828686217466995
