model,seed,adaptation,RMSE_C,MAE_C,bias_C,raw_RMSE_C,RMSE_reduction_vs_raw_percent,readout_slope,readout_intercept_C,training_unique_timestamps,test_unique_timestamps,train_test_overlap,current_return_measurement_used_at_test,internal_simulator_sensor_values_used_at_test,state_type,safe_claim
Proposed PI-GNN-GRU-v3 balanced_mode,22,training-only offset,0.730200393692503,0.623036306119179,0.6088700276091827,5.754579761418634,87.31096928070917,,6.3493158575165625,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,22,training-only affine readout,0.7381653000278836,0.605658446302457,0.5995825600959387,5.754579761418634,87.1725594112556,1.4566726204185858,-9.897265727848678,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,33,raw frozen checkpoint,2.4245850308357046,2.2710420111833622,-2.2710420111833622,2.4245850308357046,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,33,training-only offset,1.0386601135297724,0.825721276558383,0.5981923405100379,2.4245850308357046,57.16132450212449,,2.8692343516934007,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,33,training-only affine readout,0.7966191526034584,0.696130831317817,0.6231734432847053,2.4245850308357046,67.14410332192473,0.1945462051924512,34.327097134328824,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,33,raw frozen checkpoint,3.603697737595044,3.4743922596653247,-3.4743922596653247,3.603697737595044,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,33,training-only offset,1.3758962459306927,1.2240383122861898,0.9888653445443691,3.603697737595044,61.819876523581364,,4.463257604209694,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,33,training-only affine readout,0.921913259931288,0.8442986290742672,0.720138991832392,3.603697737595044,74.4175753056766,0.2528282245815579,32.453844357785144,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,33,raw frozen checkpoint,7.476893967868547,7.448728082840976,-7.448728082840976,7.476893967868547,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,33,training-only offset,0.9951729056081207,0.8938661654438537,0.7549673883097484,7.476893967868547,86.69002248948816,,8.203695471150722,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,33,training-only affine readout,1.1940339116143674,1.045940067647643,0.866300114804565,7.476893967868547,84.03034847430432,1.8852785693552487,-21.649325482250347,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,33,raw frozen checkpoint,6.287004404681385,6.249516482408588,-6.249516482408588,6.287004404681385,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,33,training-only offset,0.7092132499425969,0.5844317392334942,0.1817011648493602,6.287004404681385,88.71937723767925,,6.431217647257949,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,33,training-only affine readout,0.5733613533247154,0.44300409572797883,0.35738083808021137,6.287004404681385,90.88021390763168,0.6074250914663075,20.36530694647466,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,44,raw frozen checkpoint,1.6964228439057927,1.5908766634185667,-1.5908766634185667,1.6964228439057927,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,44,training-only offset,1.0731469338159023,0.9103359869098175,0.8970409324232904,1.6964228439057927,36.7405987445252,,2.487917595841856,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,44,training-only affine readout,0.8651756686876382,0.7483503684282363,0.7236253786473941,1.6964228439057927,48.99999892151394,0.3525251443637983,28.022636296503844,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,44,raw frozen checkpoint,2.2399647839508976,1.91144975776013,-1.91144975776013,2.2399647839508976,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,44,training-only offset,1.4805857873721016,1.3194370863189129,0.9101275827428462,2.2399647839508976,33.90138104043704,,2.821577340502978,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,44,training-only affine readout,0.9452264471014551,0.8396866012967676,0.7139926148818249,2.2399647839508976,57.80172733634479,0.30181276419857445,30.123303004536186,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,44,raw frozen checkpoint,8.00335811019656,7.9917903981619425,-7.9917903981619425,8.00335811019656,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,44,training-only offset,0.5696124081668535,0.47571346204264126,0.373404637949225,8.00335811019656,92.882832427039,,8.365195036111167,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,44,training-only affine readout,0.564290168967724,0.4664425114666682,0.3571863075551119,8.00335811019656,92.94933250270536,1.0634017307303951,6.2374257865743505,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,44,raw frozen checkpoint,4.772088431400404,4.7527585012221305,-4.7527585012221305,4.772088431400404,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,44,training-only offset,0.7778370545225272,0.6513313018786749,0.6487802842426277,4.772088431400404,83.70027995700269,,5.40153878546476,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,44,training-only affine readout,0.7900218037947905,0.6518249455162247,0.6513671968852555,4.772088431400404,83.44494627139687,1.1321673949327777,0.5742873466678178,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,55,raw frozen checkpoint,2.232550482256033,2.1356418129297685,-2.1356418129297685,2.232550482256033,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,55,training-only offset,1.0192497423337625,0.8210561066755391,0.784572708268485,2.232550482256033,54.34594870599334,,2.920214521198254,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
GRU-MSE,55,training-only affine readout,0.8398089334522955,0.7331209139818745,0.6760820167879567,2.232550482256033,62.383429170942954,0.30170634174267863,30.157223982541964,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,55,raw frozen checkpoint,4.135517415151229,4.038401945873537,-4.038401945873537,4.135517415151229,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,55,training-only offset,1.1111132554096803,0.9829066283904379,0.663896567066865,4.135517415151229,73.13242470364379,,4.7022985129404,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Transformer-MSE,55,training-only affine readout,0.8081183709999549,0.7393061910228331,0.6304524698834151,4.135517415151229,80.45907464833145,0.035895445391364654,40.58917155828502,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,55,raw frozen checkpoint,7.83865674823415,7.826926947053867,-7.826926947053867,7.83865674823415,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,55,training-only offset,0.563861186400232,0.4446274618869881,0.3663130565648314,7.83865674823415,92.8066605732257,,8.193240003618698,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 accuracy_mode,55,training-only affine readout,0.5648212149013448,0.4475400559441688,0.3806126335263223,7.83865674823415,92.79441321335337,0.945607109068141,10.028024702585375,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,55,raw frozen checkpoint,6.28152147093631,6.267864828737031,-6.267864828737031,6.28152147093631,0.0,,,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,55,training-only offset,0.5667092940720854,0.47014004246146374,0.3870102653322158,6.28152147093631,90.9781523999533,,6.654875094069248,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
Proposed PI-GNN-GRU-v3 balanced_mode,55,training-only affine readout,0.5642035242605361,0.4661027419596279,0.3815494339073297,6.28152147093631,91.01804352860967,1.0225470630779085,5.859630417089351,544,102,0,False,False,real_measured_node,Training-only scalar readout adaptation of a C/S-trained checkpoint; held-out measured return target; not distributed field validation.
