epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_winter_2016_seed_11_GRU-MSE,0.8129812966693531,0.2105663741628329,0.2105663741628329,normalized_state_mse,0.8129812966693531,0.0,0.0,0.0,0.0,0.0,0.0,0.8129812966693531
2,mw_winter_2016_seed_11_GRU-MSE,0.5818956982005726,0.1489684854944547,0.1489684854944547,normalized_state_mse,0.5818956982005726,0.0,0.0,0.0,0.0,0.0,0.0,0.5818956982005726
3,mw_winter_2016_seed_11_GRU-MSE,0.4689816507426175,0.14746243506669998,0.14746243506669998,normalized_state_mse,0.4689816507426175,0.0,0.0,0.0,0.0,0.0,0.0,0.4689816507426175
4,mw_winter_2016_seed_11_GRU-MSE,0.4083894978870045,0.14080950866142908,0.14080950866142908,normalized_state_mse,0.4083894978870045,0.0,0.0,0.0,0.0,0.0,0.0,0.4083894978870045
5,mw_winter_2016_seed_11_GRU-MSE,0.3764358406717127,0.14689794555306435,0.14689794555306435,normalized_state_mse,0.3764358406717127,0.0,0.0,0.0,0.0,0.0,0.0,0.3764358406717127
6,mw_winter_2016_seed_11_GRU-MSE,0.3542476946657354,0.1440198024113973,0.1440198024113973,normalized_state_mse,0.3542476946657354,0.0,0.0,0.0,0.0,0.0,0.0,0.3542476946657354
7,mw_winter_2016_seed_11_GRU-MSE,0.3397297114133835,0.1301798609395822,0.1301798609395822,normalized_state_mse,0.3397297114133835,0.0,0.0,0.0,0.0,0.0,0.0,0.3397297114133835
8,mw_winter_2016_seed_11_GRU-MSE,0.3217399608005177,0.1404175547262033,0.1404175547262033,normalized_state_mse,0.3217399608005177,0.0,0.0,0.0,0.0,0.0,0.0,0.3217399608005177
9,mw_winter_2016_seed_11_GRU-MSE,0.3076990991830826,0.1261167898774147,0.1261167898774147,normalized_state_mse,0.3076990991830826,0.0,0.0,0.0,0.0,0.0,0.0,0.3076990991830826
10,mw_winter_2016_seed_11_GRU-MSE,0.2955242165110328,0.11770947650074959,0.11770947650074959,normalized_state_mse,0.2955242165110328,0.0,0.0,0.0,0.0,0.0,0.0,0.2955242165110328
11,mw_winter_2016_seed_11_GRU-MSE,0.2862219756299799,0.11897396917144458,0.11897396917144458,normalized_state_mse,0.2862219756299799,0.0,0.0,0.0,0.0,0.0,0.0,0.2862219756299799
12,mw_winter_2016_seed_11_GRU-MSE,0.27724287049336865,0.11300639808177948,0.11300639808177948,normalized_state_mse,0.27724287049336865,0.0,0.0,0.0,0.0,0.0,0.0,0.27724287049336865
