model,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,heat_load_consistency_error_percent
GRU-MSE,0.9489150519337665,7.474319479663626,0.08151598125696177,2.7365373611450194,0.10511593818664547,2.1224490880966185
Proposed PI-GNN-GRU-v3 accuracy_mode,0.7336228488731911,3.9459489893013355,0.06624515950679775,1.7912689924240113,0.14984197914600367,2.2734470844268797
Proposed PI-GNN-GRU-v3 balanced_mode,0.9293687607658798,1.6342433673963526,0.05304247662425038,2.181517767906189,0.15865896940231322,3.5933985710144043
Transformer-MSE,0.9085663374164932,5.721526205967271,0.1020247548818588,2.314448094367981,0.05330640152096744,2.289535474777222
