model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,loss_mode,architecture,training_time_s,parameter_count,window,regime,seed,window_start_utc,window_end_utc,window_timestamps,epochs_cap,batch_size,sensor_layout,normalization,state_type
Proposed PI-GNN-GRU-v3 accuracy_mode,0.27499163150787354,1.3928086757659912,8.05742073059082,0.018214844167232513,0.38179656863212585,1.2812094688415527,0.38179656863212585,1.2812094688415527,1.2812094688415527,4.932541370391846,0.8841513035130336,2.661220456008688,0.03371527045965195,5.919300556182861,0.30425822734832764,0.30500590801239014,194.28890000563115,physics,pignn_v3,188.69741560006514,94600,winter_2016,winter/high-load,33,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.3321050703525543,1.245363473892212,7.465700626373291,0.014367857947945595,0.3870127499103546,1.2558412551879883,0.3870127499103546,1.2558412551879883,1.2558412551879883,2.966233968734741,0.8745255353089025,0.9129102247779703,0.02154456079006195,5.503241062164307,0.28644993901252747,0.3119125962257385,97.29564993176609,physics,pignn_v3,220.53001040010713,94600,winter_2016,winter/high-load,33,2016-01-02 08:30:00+00:00,2016-01-07 16:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.48875269293785095,1.3222932815551758,1.4573012590408325,0.004240320064127445,0.4727935791015625,1.295285940170288,0.4727935791015625,1.295285940170288,1.295285940170288,1.4653664827346802,1.1353642123364884,4.258787092800665,0.07476824522018433,1.0870838165283203,0.27865666151046753,0.565222442150116,10.738000040873885,mse,gru,12.152605399955064,74580,shoulder_2016,late-autumn/heating-onset,11,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.3720338046550751,1.2502983808517456,2.5352392196655273,0.00868445448577404,0.3750258982181549,1.3056187629699707,0.3750258982181549,1.3056187629699707,1.3056187629699707,1.1064679622650146,0.9296616407441641,3.801262801226035,0.06650587171316147,2.040503740310669,0.19392646849155426,0.39555156230926514,5.3833500714972615,mse,transformer,16.555723399855196,57812,shoulder_2016,late-autumn/heating-onset,11,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.5328094363212585,1.371932864189148,4.7104034423828125,0.0060871923342347145,0.6275388598442078,1.29149329662323,0.6275388598442078,1.29149329662323,1.29149329662323,1.2928074598312378,1.2636240424983975,4.784517507747079,0.09535308182239532,3.5868561267852783,0.13515937328338623,0.8525586724281311,105.90129985939711,physics,pignn_v3,102.63578930008225,94600,shoulder_2016,late-autumn/heating-onset,11,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.5290316939353943,1.1593360900878906,4.773457050323486,0.00454303901642561,0.5570728182792664,1.0935033559799194,0.5570728182792664,1.0935033559799194,1.0935033559799194,1.228267788887024,1.0411181517073804,3.9151731991448355,0.09476615488529205,3.7310116291046143,0.08085336536169052,0.7216986417770386,258.6851998930797,physics,pignn_v3,104.27521319990046,94600,shoulder_2016,late-autumn/heating-onset,11,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.4639838635921478,1.3163331747055054,1.8430538177490234,0.005092925392091274,0.47348159551620483,1.3125137090682983,0.47348159551620483,1.3125137090682983,1.3125137090682983,0.9547529816627502,1.0787105890117679,5.171758442679594,0.09126314520835876,1.4596340656280518,0.23768752813339233,0.5600874423980713,4.330449970439076,mse,gru,5.902642299886793,74580,shoulder_2016,late-autumn/heating-onset,22,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.3529824912548065,1.2336724996566772,2.8131868839263916,0.008807631209492683,0.34332066774368286,1.2317687273025513,0.34332066774368286,1.2317687273025513,1.2317687273025513,1.7291555404663086,0.8005176231706108,3.571670474556707,0.06594624370336533,2.2238917350769043,0.14524008333683014,0.36465883255004883,2.8057999443262815,mse,transformer,9.75836839992553,57812,shoulder_2016,late-autumn/heating-onset,22,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.4808453321456909,1.515061616897583,4.996191501617432,0.00446870643645525,0.5697770714759827,1.4601678848266602,0.5697770714759827,1.4601678848266602,1.4601678848266602,1.8564611673355103,1.4042859549185631,4.487360052331305,0.10126747190952301,3.8333418369293213,0.15775825083255768,0.7408024072647095,100.23720003664494,physics,pignn_v3,108.70055390009657,94600,shoulder_2016,late-autumn/heating-onset,22,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.5860850811004639,1.4079859256744385,5.046497821807861,0.004470895975828171,0.5382394790649414,1.3995544910430908,0.5382394790649414,1.3995544910430908,1.3995544910430908,2.176525592803955,1.41317060092716,3.8300472043631753,0.09203405678272247,3.752673625946045,0.08592589944601059,0.6423602104187012,217.50090003479272,physics,pignn_v3,122.96330499998294,94600,shoulder_2016,late-autumn/heating-onset,22,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
