case,parameter,mean_supply_RMSE_C,mean_return_RMSE_C,mean_heat_loss_error_percent,mean_pressure_drop_error_percent,mean_flow_RMSE_m3_s,mean_energy_balance_residual_percent,mean_thermal_delay_error_min,mean_boundary_residual_C,interpretation
baseline,baseline,0.36789114276568097,1.5788252353668213,0.9970402139673459,4.231367987668051,0.014537317988773188,6.975782058052253,190.0,0.11876158292094867,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
effective_velocity_0.85x,effective_velocity_factor,0.37888337175051373,1.6035867929458618,0.9666367883497995,4.221911439667134,0.014414818026125431,6.930262405251199,205.0,0.11756543815135956,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
effective_velocity_1.15x,effective_velocity_factor,0.36917508641878766,1.5353826681772869,0.9912367819381687,4.204934166620382,0.014409580578406652,6.942245794107979,175.0,0.11819498986005783,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
flow_proxy_0.9x,flow_proxy,0.3714192608992259,4.8577955563863116,4.267192677008774,17.133377552138047,0.03970666229724884,6.933677297757387,205.0,0.1225403721133868,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
flow_proxy_1.1x,flow_proxy,0.3759465416272481,2.745811700820923,2.1590495525969398,9.43664743820981,0.03019099434216817,6.808557616484154,175.0,0.11855911711851756,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
friction_factor_0.8x,friction_factor,0.36417532960573834,1.5128060181935628,0.9427372293138142,19.02171026082877,0.013823986674348513,7.302632041203146,190.0,0.12187275166312854,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
friction_factor_1.2x,friction_factor,0.3667356272538503,1.6188182830810547,1.025841698401196,9.440327625390358,0.01565707754343748,6.473845788380967,190.0,0.11641069625814755,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
heat_loss_U_0.8x,heat_loss_U_W_m2K,0.367019255956014,1.5523134469985962,0.9687696003303162,4.2129941066970815,0.014416168443858624,6.939794295185211,190.0,0.11792452757557233,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
heat_loss_U_1.2x,heat_loss_U_W_m2K,0.36320263147354126,1.575688322385152,0.9968382495307236,4.211329694500734,0.014409403627117475,6.936769386253755,190.0,0.11790414899587631,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
high_loss_high_friction,combined,0.3652268846829732,1.6320665677388508,1.0422044693994945,9.440664137522283,0.015653059196968872,6.472129865885115,190.0,0.11640499780575435,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
low_loss_low_friction,combined,0.36648041009902954,1.503022273381551,0.9318164184107319,19.022369655800784,0.013826524838805199,7.304147304677307,190.0,0.1218857429921627,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
return_bias_flow_uncertainty,return_bias_flow,0.3803010682264964,4.222897132237752,3.491223272159409,14.880395688844784,0.048184638222058616,6.754168406759181,175.0,0.12034012625614803,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
return_temperature_bias_+1C,return_temperature_bias_C,0.36735854546229046,1.3705542087554932,0.8641403454372559,3.8016818024152372,0.013624760322272778,6.901538914840575,190.0,0.1176626409093539,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
return_temperature_bias_+2C,return_temperature_bias_C,0.3711264530817668,1.6783990859985352,1.123136775298019,5.172066693832147,0.01782116511215766,6.868975710361423,190.0,0.11779034013549487,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
return_temperature_bias_-1C,return_temperature_bias_C,0.3657949169476827,2.132284084955851,1.4976855543570704,6.100667593171828,0.01875165042777856,6.956334343309666,190.0,0.1184566579759121,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
return_temperature_bias_-2C,return_temperature_bias_C,0.3648001154263814,2.8740502198537192,2.242081651248547,9.027222837709294,0.024635486925641697,6.957491983348651,190.0,0.11924924577275912,Sensitivity of simulator-assisted hidden-state reconstruction to effective calibrated parameter uncertainty.
