block,start_utc,end_utc,samples,RMSE_return_C,MAE_return_C,signed_return_bias_C,boundary_closure_percent,dynamic_energy_residual_percent,retuned,evidence_type
B1,2016-01-10T23:15:00+00:00,2016-01-16T13:15:00+00:00,537,1.17392632936189,0.8023582902575334,-0.2264186909938856,0.7814451504795382,1.2997622888535074,False,M return target; C simulator replay
B2,2016-11-09T15:45:00+00:00,2016-11-15T05:45:00+00:00,537,1.8321943721097775,1.36462282791935,-0.15073893210744493,0.8669277942420781,2.1990159501517192,False,M return target; C simulator replay
B3,2017-02-01T21:00:00+00:00,2017-02-07T11:00:00+00:00,537,1.3959146945320466,0.9446514189614864,-0.25789548666450457,0.850718307439197,1.510068851312142,False,M return target; C simulator replay
B4,2018-01-13T04:30:00+00:00,2018-01-18T18:30:00+00:00,537,1.1851158472327672,0.850098212953481,-0.23820810675694537,1.02243283844646,1.36639762746711,False,M return target; C simulator replay
B5,2018-02-03T08:00:00+00:00,2018-02-08T22:00:00+00:00,537,1.4926557108827079,1.0361280387429572,-0.21191714233222772,1.3505958667459481,1.7375706564437865,False,M return target; C simulator replay
