model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,training_time_s,parameter_count,RMSE_Ts_full_seed_std,RMSE_Tr_full_seed_std,RMSE_H_full_seed_std,RMSE_q_full_seed_std,RMSE_Ts_measured_nodes_seed_std,RMSE_Tr_measured_nodes_seed_std,RMSE_supply_measured_C_seed_std,RMSE_return_measured_C_seed_std,RMSE_load_or_return_proxy_seed_std,heat_load_consistency_error_percent_seed_std,heat_loss_error_percent_seed_std,energy_balance_residual_seed_std,thermal_residual_mean_seed_std,hydraulic_residual_mean_seed_std,boundary_residual_mean_seed_std,thermal_delay_error_seed_std,inference_time_ms_seed_std,training_time_s_seed_std,parameter_count_seed_std,loss_mode,architecture
GRU-MSE,0.29982830286026,1.5939731836318969,3.7314882278442383,0.014209724776446758,0.3025932669639587,1.5969078302383424,0.3025932669639587,1.5969078302383424,1.5969078302383424,2.1224490880966185,0.9489150519337665,7.474319479663626,0.08151598125696177,2.7365373611450194,0.10511593818664547,0.3207152903079986,4.745910006264845,42.62310608001426,74580.0,0.013876066848410282,0.08647925969500232,0.39854645951965734,0.001381323550786862,0.01647808830771958,0.08992782757040393,0.01647808830771958,0.08992782757040393,0.08992782757040393,0.47969244225273144,0.07292891688906515,0.47332344898371187,0.006699597021690778,0.3260937153144464,0.020417563481877437,0.024250107529685327,2.0176068894452444,10.73102171850807,0.0,mse,gru
Proposed PI-GNN-GRU-v3 accuracy_mode,0.31478667855262754,1.2762975454330445,2.694751834869385,0.00971952006220812,0.32515227794647217,0.7870906472206116,0.32515227794647217,0.7870906472206116,0.7870906472206116,2.2734470844268797,0.7336228488731911,3.9459489893013355,0.06624515950679775,1.7912689924240113,0.14984197914600367,0.3042378008365631,98.87247999043514,668.382952899998,94600.0,0.01013490802474885,0.07810589939207095,0.31971166306746135,0.0011131079557491956,0.011447799523127815,0.08503699093640507,0.011447799523127815,0.08503699093640507,0.08503699093640507,0.20181268112053877,0.08246863441803096,0.3445618496520419,0.004810850451894346,0.2387247868205153,0.019503264657982897,0.016315136097351347,33.58758118939027,117.46876277570182,0.0,physics,pignn_v3
Proposed PI-GNN-GRU-v3 balanced_mode,0.31263955235481256,1.4701768159866333,3.1456998348236085,0.01281892303377384,0.3133132398128509,1.2831266403198243,0.3133132398128509,1.2831266403198243,1.2831266403198243,3.5933985710144043,0.9293687607658798,1.6342433673963526,0.05304247662425038,2.181517767906189,0.15865896940231322,0.28262348771095275,96.78982999563837,592.5878501200117,94600.0,0.006856111446328263,0.09091461150189027,0.5342247986060844,0.0011516300321003051,0.00834768175976341,0.15692693552828932,0.00834768175976341,0.15692693552828932,0.15692693552828932,0.40781630418870246,0.0876404939275606,0.2980192237834236,0.002279126302143493,0.4040520962814508,0.012498769314317442,0.010712287300400511,36.420224068909334,75.8352347576205,0.0,physics,pignn_v3
Transformer-MSE,0.4136099576950073,1.5301090955734253,3.6135603904724123,0.015055588819086502,0.40572447776794435,1.5334819316864015,0.40572447776794435,1.5334819316864015,1.5334819316864015,2.289535474777222,0.9085663374164932,5.721526205967271,0.1020247548818588,2.314448094367981,0.05330640152096744,0.40637805461883547,4.810144996736199,60.07350257998333,57812.0,0.0549087199891877,0.052144039238286935,0.5989757944566142,0.002854189889906478,0.05824368900068852,0.04657654720886945,0.05824368900068852,0.04657654720886945,0.04657654720886945,0.4575056111839559,0.04080343113860803,0.9360084393839786,0.011633243717665203,0.38826051727289235,0.021825938972750817,0.08166713018897967,2.1786119182596226,6.63233309494582,0.0,mse,transformer
