epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,heat_loss_residual,smoothness,total_loss
1,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,343.56568908691406,176.07371520996094,2.30233097076416,normalized_state_mse,3.38699011369185,340.17869706587356,0.8549859903075478,0.1599762737751007,25.72913308577104,0.2656576403162696,6.036247990348122,4.585576138713143,343.56568908691406
2,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,105.76510377363725,35.61345990498861,1.7543754577636719,normalized_state_mse,2.756168018687855,103.00893644853072,6.156179298054088,0.16752500628883188,18.945526643232867,0.2277177165855061,5.179427146911621,18.267395886507902,105.76510377363725
3,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,30.73916990106756,21.790101369222004,1.0076417128245037,normalized_state_mse,1.9668960137800737,28.713022058660332,19.04401935230602,0.1754630140282891,11.179404258728027,0.45453883572058246,3.830190420150757,33.650284333662555,30.73916990106756
4,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,19.48498127677224,6.111764748891194,0.4095594535271327,normalized_state_mse,1.231494052843614,18.158154140819203,17.281918612393465,0.2586005275899714,7.5004150650718,1.3358973535624417,2.16329271143133,19.53238365866921,19.48498127677224
5,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,8.615801030939275,6.76230510075887,0.26531410217285156,normalized_state_mse,0.7442811375314539,7.773597153750333,9.86844895102761,0.9653652472929521,7.004279873587868,5.548701979897239,0.9132962172681635,13.136130766435103,8.615801030939275
6,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,5.4740330956198955,0.6718902587890625,0.19352035721143088,normalized_state_mse,0.6290846006436781,4.77207088470459,3.1949140375310723,0.8787143989042803,7.038191925395619,5.1156088655645195,0.7620920213786039,6.089745131405917,5.4740330956198955
7,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,4.045308394865557,0.505213608344396,0.17449709276358286,normalized_state_mse,0.5825832838361914,3.398847991769964,2.65470552444458,0.9379863522269509,6.516143842176958,4.0373873927376485,0.7506185472011566,4.72208647294478,4.045308394865557
8,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,3.540854887528853,0.5039159854253134,0.16943595558404922,normalized_state_mse,0.5557287497953936,2.921672062440352,2.801013621416959,0.9135175889188593,6.381039402701638,4.2039618275382304,0.7148620079864155,3.7954726869409736,3.540854887528853
9,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,3.1981579823927446,0.44432754317919415,0.16513967017332712,normalized_state_mse,0.5345318425785411,2.6046623533422295,2.35021710395813,0.9640901359644803,6.4328977411443535,3.1235086267644707,0.694231778383255,3.426842039281672,3.1981579823927446
10,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,2.939629923213612,0.47879238923390705,0.17389236887296042,normalized_state_mse,0.5024900707331571,2.3754947293888438,2.835403073917736,0.9758756865154613,6.193091956051913,3.538592880422419,0.648232183673165,3.2756500894373115,2.939629923213612
11,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,2.889417431571267,0.44957582652568817,0.14222324142853418,normalized_state_mse,0.4835874980146235,2.344362735748291,2.755633094094016,0.9632904041897167,6.2269156195900655,3.964184132489291,0.6209045296365564,3.153745933012529,2.889417431571267
12,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,2.7422303069721568,0.9050909876823425,0.15107076118389764,normalized_state_mse,0.46800365908579394,2.213142676786943,2.8305148861624976,0.9570483023470099,6.088135632601651,3.858060750094327,0.591341338374398,3.0509662411429663,2.7422303069721568
