case,model,selected_score,detection_rate_percent,false_alarm_rate_percent,detection_delay_min,max_residual_score,best_F1_score,best_threshold_quantile,mean_temperature_residual_C,mean_return_temperature_residual_C,mean_energy_residual_percent,mean_heat_loss_residual_percent,mean_pressure_drop_residual_percent,state_type,interpretation,safe_claim
normal_operation,Proposed PI-GNN-GRU-v3 balanced_mode,residual_score,5.0366300366300365,5.0366300366300365,,512.8711154479972,,,0.70066740888379,1.1753459336556795,3.8490083341047403,1.0179922676523057,0.9258069319200347,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
return_sensor_bias_plus_1C,Proposed PI-GNN-GRU-v3 balanced_mode,return_cusum_score,0.0,0.0,,509.01349222485,0.0,99.0,0.6971620870597197,1.1683352900075388,3.8490083341047403,1.0179922676523057,0.9258069319200347,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
return_sensor_bias_plus_2C,Proposed PI-GNN-GRU-v3 balanced_mode,thermal_score,0.0,1.0223048327137547,,515.9641591782823,0.0,99.0,0.7034779772217021,1.1809670703315036,3.8490083341047403,1.0179922676523057,0.9258069319200347,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
outlet_sensor_dropout,Proposed PI-GNN-GRU-v3 balanced_mode,sensor_health_score,100.0,0.0,0.0,512.6296535353466,1.0,90.0,0.7002815039603265,1.1749071133442415,3.8490083341047403,1.0179922676523057,0.9258069319200347,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
heat_loss_coefficient_plus_20pct,Proposed PI-GNN-GRU-v3 balanced_mode,energy_score,0.0,1.0223048327137547,,512.8711154479972,0.0,99.0,0.70066740888379,1.1753459336556795,3.8490083341047403,1.0259172657537592,0.9258069319200347,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
friction_factor_plus_20pct,Proposed PI-GNN-GRU-v3 balanced_mode,hydraulic_score,100.0,1.0223048327137547,0.0,512.8711154479972,0.7441860465116279,99.0,0.70066740888379,1.1753459336556795,3.8490083341047403,1.0179922676523057,1.1664615805452232,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
combined_monitoring_stress,Proposed PI-GNN-GRU-v3 balanced_mode,sensor_health_score,100.0,0.0,0.0,524.2240666845125,1.0,90.0,0.7108170454318707,1.19597819628733,3.8490083341047403,1.0259172657537592,1.1664615805452232,real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,residual-based warning performance for controlled perturbations of real operating profiles,"Anomaly cases are controlled perturbations, not observed field faults. Pressure/head and flow residuals are simulator-assisted hidden hydraulic diagnostics."
