segment_midpoint_km,simulator_heat_loss_kW,pignn_v3_heat_loss_kW,error_kW,state_type
0.5,158.38132203239897,159.39452520867744,1.0132031762784663,calibrated_simulator
1.5,158.3775029014705,159.48481809412752,1.107315192657012,calibrated_simulator
2.5,158.37569138571402,159.43196692438988,1.0562755386758624,calibrated_simulator
3.5,158.36918903002953,159.39932219343933,1.0301331634098005,calibrated_simulator
4.5,158.3623959088796,159.17238729504695,0.8099913861673542,calibrated_simulator
5.5,158.3585956213234,159.15328755335227,0.7946919320288828,calibrated_simulator
6.5,158.35205429305086,159.32306376836053,0.9710094753096712,calibrated_simulator
7.5,158.34498418295516,159.2969754551898,0.9519912722346362,calibrated_simulator
8.5,158.33828696433284,159.25718176073525,0.9188947964024123,calibrated_simulator
9.5,158.3305447541848,158.96535649494047,0.6348117407556515,calibrated_simulator
10.5,158.3217123999913,158.92610097067683,0.6043885706855292,calibrated_simulator
11.5,158.31186860460753,159.11593804800123,0.8040694433937006,calibrated_simulator
12.5,158.29971338754126,159.0479668051382,0.748253417596942,calibrated_simulator
13.5,158.28708212541716,158.96990426837982,0.6828221429626637,calibrated_simulator
14.5,158.2724274700352,158.63628996891495,0.3638624988797403,calibrated_simulator
15.5,158.24848546271764,158.57709416511554,0.32860870239790074,calibrated_simulator
16.5,158.23303988173788,158.77672744442373,0.5436875626858466,calibrated_simulator
17.5,158.21828621905203,158.72131051065622,0.5030242916041914,calibrated_simulator
18.5,158.18653553519945,158.61719081214252,0.43065527694307093,calibrated_simulator
19.5,158.162665808939,158.3097397847123,0.14707397577328152,calibrated_simulator
