timestamp,measured_supply_C,persistence_C,source_ridge_C,local_history_ridge_C
2018-04-02 00:00:00+00:00,103.31,97.75,93.16265823372734,99.99513652902107
2018-04-02 01:00:00+00:00,103.5,98.37,93.06220728642447,99.63441005477479
2018-04-02 02:00:00+00:00,101.88,100.32,93.74271650293558,100.12005160225642
2018-04-02 03:00:00+00:00,100.48,101.06,93.63558045271225,100.03664238881257
2018-04-02 04:00:00+00:00,97.29,101.36,93.91321829244282,100.4474717411204
2018-04-02 05:00:00+00:00,96.48,101.78,94.14797399113019,100.5293146323012
2018-04-02 06:00:00+00:00,95.01,103.31,94.99140962122685,101.42997478581555
2018-04-02 07:00:00+00:00,98.85,103.5,94.74791472604906,100.79923684378896
2018-04-02 08:00:00+00:00,97.56,101.88,94.26548112591276,100.2613788679069
2018-04-02 09:00:00+00:00,98.39,100.48,93.64997751394961,99.10134447220977
2018-04-02 10:00:00+00:00,98.16,97.29,92.6531632336295,97.60605141618159
2018-04-02 11:00:00+00:00,97.96,96.48,93.48981267348597,98.0919425037238
2018-04-02 12:00:00+00:00,96.05,95.01,93.52766609743706,97.55723895100934
2018-04-02 13:00:00+00:00,96.13,98.85,94.95312917272301,99.21238739889684
2018-04-02 14:00:00+00:00,98.46,97.56,93.14875023777819,97.82990123860797
2018-04-02 15:00:00+00:00,98.35,98.39,93.63574834746268,99.08871110570726
2018-04-02 16:00:00+00:00,89.97,98.16,92.53600351891467,97.86576689333604
2018-04-02 17:00:00+00:00,93.76,97.96,92.40423759894186,97.95530742252583
2018-04-02 18:00:00+00:00,95.81,96.05,91.67617378518503,97.50039288844953
2018-04-02 19:00:00+00:00,95.82,96.13,92.7693475580891,98.78974266861184
2018-04-02 20:00:00+00:00,97.63,98.46,92.308158411055,98.19627492419046
2018-04-02 21:00:00+00:00,100.61,98.35,91.78342952630719,98.445806041257
2018-04-02 22:00:00+00:00,98.72,89.97,88.51540996167944,94.27275572215578
2018-04-02 23:00:00+00:00,99.09,93.76,91.59076597337034,97.70824874384805
2018-04-03 00:00:00+00:00,98.8,95.81,90.87742385026954,95.72399461177059
2018-04-03 01:00:00+00:00,97.64,95.82,91.46622515965615,96.64653545127828
2018-04-03 02:00:00+00:00,97.91,97.63,93.04959843484309,98.38975075897338
2018-04-03 03:00:00+00:00,99.43,100.61,93.76015791698873,98.96391715346144
2018-04-03 04:00:00+00:00,95.56,98.72,90.51336130327729,95.53115051780189
2018-04-03 05:00:00+00:00,93.89,99.09,92.59217758742425,97.79836919459983
2018-04-03 06:00:00+00:00,95.42,98.8,92.6940275838108,97.29928501021077
2018-04-03 07:00:00+00:00,95.91,97.64,92.06893019930503,96.3741804193001
2018-04-03 08:00:00+00:00,96.43,97.91,92.72054834361836,97.4590331455387
2018-04-03 09:00:00+00:00,94.01,99.43,93.67990692912349,98.62201615037691
2018-04-03 10:00:00+00:00,93.93,95.56,91.09164408607538,95.33787146391639
2018-04-03 11:00:00+00:00,94.04,93.89,91.7491920691715,96.35642640274605
2018-04-03 12:00:00+00:00,93.85,95.42,92.64941666447643,96.59150868328362
2018-04-03 13:00:00+00:00,93.66,95.91,91.84326360434451,95.33240594722065
2018-04-03 14:00:00+00:00,94.83,96.43,91.89831450807533,96.38470369526854
2018-04-03 15:00:00+00:00,96.35,94.01,91.52556999751559,96.18458696850702
2018-04-03 16:00:00+00:00,91.94,93.93,90.76354475137954,95.12821520314071
2018-04-03 17:00:00+00:00,89.4,94.04,90.2525888323468,94.4364402118341
2018-04-03 18:00:00+00:00,88.79,93.85,90.74260231586646,95.24039953856506
2018-04-03 19:00:00+00:00,87.5,93.66,90.67426737986237,95.4264890083054
2018-04-03 20:00:00+00:00,87.36,94.83,90.70306134090866,95.51780908198212
2018-04-03 21:00:00+00:00,87.78,96.35,90.15851406536143,95.47138114466809
2018-04-03 22:00:00+00:00,86.68,91.94,88.33542156736934,93.44082140090524
2018-04-03 23:00:00+00:00,86.42,89.4,88.36728435338982,92.96304845770958
2018-04-04 00:00:00+00:00,89.68,88.79,88.52965955809063,91.83141155919338
2018-04-04 01:00:00+00:00,90.38,87.5,88.1730433194052,90.97307441153592
2018-04-04 02:00:00+00:00,91.08,87.36,88.63261968412873,91.23221955362652
2018-04-04 03:00:00+00:00,89.78,87.78,88.89524609986896,91.30506501984429
2018-04-04 04:00:00+00:00,88.24,86.68,87.03314557949413,89.35594957541804
2018-04-04 05:00:00+00:00,88.38,86.42,86.77626278451764,89.2077113643194
2018-04-04 06:00:00+00:00,88.43,89.68,88.0829891800241,90.71872264788907
2018-04-04 07:00:00+00:00,89.41,90.38,87.11284698891681,89.43833514882286
2018-04-04 08:00:00+00:00,89.93,91.08,87.09018917831995,90.17547421505307
2018-04-04 09:00:00+00:00,87.64,89.78,86.38858480082395,89.50752638847587
2018-04-04 10:00:00+00:00,86.07,88.24,86.42325301880597,89.63320259036686
2018-04-04 11:00:00+00:00,84.9,88.38,86.92713995329105,89.27244382575853
2018-04-04 12:00:00+00:00,86.54,88.43,87.77491609827254,89.7372426557183
2018-04-04 13:00:00+00:00,87.36,89.41,88.09981923357554,90.17557397534395
2018-04-04 14:00:00+00:00,87.64,89.93,88.14620213313404,90.85283364951265
2018-04-04 15:00:00+00:00,86.23,87.64,86.82731842488052,89.31381854380437
2018-04-04 16:00:00+00:00,86.05,86.07,86.44731195468765,88.77433458180911
2018-04-04 17:00:00+00:00,87.21,84.9,86.20865412244714,88.38920831800458
2018-04-04 18:00:00+00:00,88.47,86.54,86.91418051704616,90.05254233216581
2018-04-04 19:00:00+00:00,88.99,87.36,86.50102657639249,89.86465046447641
2018-04-04 20:00:00+00:00,88.39,87.64,86.33222253491219,90.41685347021254
