step,measured_boundary_heat_load_kw,simulator_delivered_heat_kw,pignn_v3_delivered_heat_kw,pignn_v3_energy_residual_kw,state_type
74,74135.6875,74521.75394012779,74638.18160317202,-5683.872183983629,calibrated_simulator
75,74065.0625,73697.44025902855,73961.04508725746,-3669.8328999696378,calibrated_simulator
76,73976.1328125,73746.34072271043,73848.5285601741,-4267.871957723427,calibrated_simulator
77,73221.1015625,73595.36210027797,73619.6903252245,-5192.2001884232395,calibrated_simulator
78,73055.375,73028.01720468566,73151.90991016339,-5191.828498258039,calibrated_simulator
79,76082.359375,74351.09162576719,74289.49656320238,-883.8440657362416,calibrated_simulator
80,83785.046875,80813.5318494811,78587.56376890371,-173.95578774702426,calibrated_simulator
81,92437.5234375,89287.20983015401,84504.66003415769,872.7832556089106,calibrated_simulator
82,94792.390625,95401.66742585304,90100.35276417738,6251.431077013086,calibrated_simulator
83,98025.2578125,98616.62041651481,93242.53445368698,-653.9482683454262,calibrated_simulator
84,74991.875,76774.80441571497,76817.98144300155,-6569.131424246159,calibrated_simulator
85,74135.6875,74521.75394012779,74557.3949924217,-5482.003480619185,calibrated_simulator
86,74065.0625,73697.44025902855,73879.83696744815,-3521.35497262043,calibrated_simulator
87,73976.1328125,73746.34072271043,73808.5562446845,-4197.774260754247,calibrated_simulator
88,73221.1015625,73595.36210027797,73598.52124622333,-5140.675426229124,calibrated_simulator
89,73055.375,73028.01720468566,73135.94479244118,-5132.190897939459,calibrated_simulator
90,76082.359375,74351.09162576719,74292.14675338246,-706.9267309805837,calibrated_simulator
91,83785.046875,80813.5318494811,78638.35490825376,103.56965533350194,calibrated_simulator
92,92437.5234375,89287.20983015401,84613.23026531302,708.0674228722883,calibrated_simulator
93,94792.390625,95401.66742585304,90258.1176635533,5230.302142354547,calibrated_simulator
94,98025.2578125,98616.62041651481,93402.67515826406,-1158.2543751815556,calibrated_simulator
95,99059.109375,100638.40538184931,95189.78633367951,-2905.7992174035217,calibrated_simulator
96,74135.6875,74521.75394012779,74985.96841294368,-4436.270185894908,calibrated_simulator
97,74065.0625,73697.44025902855,73803.43342489561,-3783.355941609969,calibrated_simulator
98,73976.1328125,73746.34072271043,73691.44387147373,-4279.0098014238365,calibrated_simulator
99,73221.1015625,73595.36210027797,73481.90621670288,-5147.471130063148,calibrated_simulator
100,73055.375,73028.01720468566,73019.56319361561,-5112.880162834482,calibrated_simulator
101,76082.359375,74351.09162576719,74193.54632811774,-643.1197423697531,calibrated_simulator
102,83785.046875,80813.5318494811,78584.13591035435,184.48771483107066,calibrated_simulator
103,92437.5234375,89287.20983015401,84631.74350027391,653.1716786693942,calibrated_simulator
104,94792.390625,95401.66742585304,90326.5888682296,5248.484660907496,calibrated_simulator
105,98025.2578125,98616.62041651481,93485.49256386288,-1360.0979093133883,calibrated_simulator
106,99059.109375,100638.40538184931,95274.98986007247,-3089.050834419558,calibrated_simulator
107,75655.7265625,92517.94776759052,87755.72898636601,-4460.477726171893,calibrated_simulator
108,74065.0625,73697.44025902855,74558.55025214936,-4802.969643044142,calibrated_simulator
109,73976.1328125,73746.34072271043,73710.31886815213,-4881.593697539546,calibrated_simulator
110,73221.1015625,73595.36210027797,73401.30018580293,-5227.915804860391,calibrated_simulator
111,73055.375,73028.01720468566,72933.32403761697,-5030.082261779342,calibrated_simulator
112,76082.359375,74351.09162576719,74133.28600105474,-536.2798463927038,calibrated_simulator
113,83785.046875,80813.5318494811,78587.85056821637,253.7108184859144,calibrated_simulator
114,92437.5234375,89287.20983015401,84723.09159923358,598.9365912934172,calibrated_simulator
115,94792.390625,95401.66742585304,90466.76755409584,5349.49696883385,calibrated_simulator
116,98025.2578125,98616.62041651481,93630.02463959114,-1562.5353215976984,calibrated_simulator
117,99059.109375,100638.40538184931,95413.09405213437,-3288.0180463885795,calibrated_simulator
118,75655.7265625,92517.94776759052,87873.11601881229,-4644.781003095456,calibrated_simulator
119,70143.8203125,69778.33207932454,77215.10448321264,-10544.838141575648,calibrated_simulator
120,73976.1328125,73746.34072271043,74479.60805873577,-5276.057154268361,calibrated_simulator
121,73221.1015625,73595.36210027797,73394.68902697555,-5650.426661375794,calibrated_simulator
122,73055.375,73028.01720468566,72855.85568860314,-5023.023751062098,calibrated_simulator
123,76082.359375,74351.09162576719,74104.3905757449,-369.09838534628307,calibrated_simulator
124,83785.046875,80813.5318494811,78660.30257426693,455.13110735706687,calibrated_simulator
125,92437.5234375,89287.20983015401,84908.76599278196,449.6788555562571,calibrated_simulator
126,94792.390625,95401.66742585304,90707.8106613217,5089.872886781137,calibrated_simulator
127,98025.2578125,98616.62041651481,93859.52534274574,-1949.26468325335,calibrated_simulator
128,99059.109375,100638.40538184931,95619.85680004276,-3639.122520375412,calibrated_simulator
129,75655.7265625,92517.94776759052,88034.18557766567,-4846.637386244313,calibrated_simulator
130,70143.8203125,69778.33207932454,77318.79072326062,-10723.84382470735,calibrated_simulator
131,69416.4453125,66153.19023825193,74249.86946389404,-9883.755500341063,calibrated_simulator
132,73221.1015625,73595.36210027797,73809.0275981629,-5334.641585136946,calibrated_simulator
133,73055.375,73028.01720468566,72693.96588670448,-5512.759948021672,calibrated_simulator
134,76082.359375,74351.09162576719,74002.07014059869,-353.83661399067887,calibrated_simulator
135,83785.046875,80813.5318494811,78726.96276095689,781.4349605893876,calibrated_simulator
136,92437.5234375,89287.20983015401,85150.93208916133,136.86660169312836,calibrated_simulator
137,94792.390625,95401.66742585304,91025.19539866122,4620.653148133738,calibrated_simulator
138,98025.2578125,98616.62041651481,94151.12205682034,-2507.5412017730723,calibrated_simulator
139,99059.109375,100638.40538184931,95874.06512618452,-4099.956047477994,calibrated_simulator
140,75655.7265625,92517.94776759052,88223.30363228162,-5061.675090086136,calibrated_simulator
141,70143.8203125,69778.33207932454,77437.21018299219,-10922.089810977139,calibrated_simulator
142,69416.4453125,66153.19023825193,74324.15596687049,-9997.591428651642,calibrated_simulator
143,68405.7265625,66555.73573374786,73101.17297333799,-13188.221356129683,calibrated_simulator
144,73055.375,73028.01720468566,73271.34083133079,-131.76210726138243,calibrated_simulator
145,76082.359375,74351.09162576719,74170.74878989787,-976.8636169478355,calibrated_simulator
146,83785.046875,80813.5318494811,79105.94750722112,801.340318647316,calibrated_simulator
147,92437.5234375,89287.20983015401,85721.24232463025,-496.92721127102504,calibrated_simulator
148,94792.390625,95401.66742585304,91597.46269721436,4025.4045421974215,calibrated_simulator
149,98025.2578125,98616.62041651481,94625.37735003712,-3124.16843175347,calibrated_simulator
150,99059.109375,100638.40538184931,96261.64998437413,-4581.67741614341,calibrated_simulator
151,75655.7265625,92517.94776759052,88540.8434395116,-5175.593245075046,calibrated_simulator
152,70143.8203125,69778.33207932454,77682.4541855328,-11095.369021204275,calibrated_simulator
153,69416.4453125,66153.19023825193,74508.54496740103,-10091.298247661738,calibrated_simulator
154,68405.7265625,66555.73573374786,73256.2692551873,-13245.618104747839,calibrated_simulator
155,67992.296875,66523.16616879168,72136.62779010388,-13764.878516099587,calibrated_simulator
156,76082.359375,74351.09162576719,75848.77288733805,1483.8488561441063,calibrated_simulator
157,83785.046875,80813.5318494811,80517.42061397152,-191.62713319430623,calibrated_simulator
158,92437.5234375,89287.20983015401,87040.37308606086,-1850.456925812563,calibrated_simulator
159,94792.390625,95401.66742585304,92621.00284084432,3149.141615267298,calibrated_simulator
160,98025.2578125,98616.62041651481,95373.98869963718,-3761.944483097446,calibrated_simulator
161,99059.109375,100638.40538184931,96825.366634409,-5003.803090674784,calibrated_simulator
162,75655.7265625,92517.94776759052,89036.10779692237,-4978.669221916561,calibrated_simulator
163,70143.8203125,69778.33207932454,78114.5719612438,-11114.005168395324,calibrated_simulator
164,69416.4453125,66153.19023825193,74844.59478257528,-10046.625223156378,calibrated_simulator
165,68405.7265625,66555.73573374786,73544.11648009675,-13108.490358508632,calibrated_simulator
166,67992.296875,66523.16616879168,72400.09277318713,-13534.521635103009,calibrated_simulator
167,67426.59375,66645.82541671285,71900.16462499737,-8527.642210980099,calibrated_simulator
168,83785.046875,80813.5318494811,83543.86137536146,2757.4235004326456,calibrated_simulator
169,92437.5234375,89287.20983015401,88790.92208799397,422.5935981673683,calibrated_simulator
170,94792.390625,95401.66742585304,93663.31625892458,3953.6034589505034,calibrated_simulator
171,98025.2578125,98616.62041651481,95980.06518322384,-3793.3305229807274,calibrated_simulator
172,99059.109375,100638.40538184931,97198.19030448627,-4854.691640642752,calibrated_simulator
173,75655.7265625,92517.94776759052,89413.80460245624,-4373.027377449075,calibrated_simulator
174,70143.8203125,69778.33207932454,78486.43706417686,-10854.788572925698,calibrated_simulator
175,69416.4453125,66153.19023825193,75104.78722795476,-9803.681344421018,calibrated_simulator
176,68405.7265625,66555.73573374786,73751.1470628973,-12805.123447715225,calibrated_simulator
177,67992.296875,66523.16616879168,72587.04560014787,-13182.069450309062,calibrated_simulator
178,67426.59375,66645.82541671285,72059.91952004522,-8241.509553834425,calibrated_simulator
179,66658.234375,65945.33192355052,71310.6430019455,-6103.988951872582,calibrated_simulator
180,92437.5234375,89287.20983015401,91610.32998210443,2003.4702682827592,calibrated_simulator
181,94792.390625,95401.66742585304,95200.05993318687,1917.9885997280662,calibrated_simulator
182,98025.2578125,98616.62041651481,97030.123517161,-3326.804838661473,calibrated_simulator
183,99059.109375,100638.40538184931,97992.32410841697,-4793.217540399792,calibrated_simulator
184,75655.7265625,92517.94776759052,89988.91492933471,-4594.46243131764,calibrated_simulator
185,70143.8203125,69778.33207932454,78858.97848466941,-11144.037029190931,calibrated_simulator
186,69416.4453125,66153.19023825193,75408.31116683842,-10116.969511433655,calibrated_simulator
187,68405.7265625,66555.73573374786,74011.42424552346,-12978.488460160614,calibrated_simulator
188,67992.296875,66523.16616879168,72810.07563640334,-13254.863343866127,calibrated_simulator
189,67426.59375,66645.82541671285,72268.49090899307,-8407.359951237513,calibrated_simulator
190,66658.234375,65945.33192355052,71498.81821829246,-6253.00219370327,calibrated_simulator
191,66112.953125,65398.99699130366,70882.7393545665,-4045.3638680042795,calibrated_simulator
192,94792.390625,95401.66742585304,96844.91852188388,-551.4353366990417,calibrated_simulator
193,98025.2578125,98616.62041651481,98034.14151403704,28.71319316652989,calibrated_simulator
194,99059.109375,100638.40538184931,98720.81533518314,-3498.346086310131,calibrated_simulator
195,75655.7265625,92517.94776759052,90491.98280710708,-4476.555342467418,calibrated_simulator
196,70143.8203125,69778.33207932454,79178.10650481338,-11351.534504511896,calibrated_simulator
197,69416.4453125,66153.19023825193,75701.10878861256,-10525.684100514814,calibrated_simulator
198,68405.7265625,66555.73573374786,74267.35591993069,-13189.771565259405,calibrated_simulator
199,67992.296875,66523.16616879168,73024.54371454114,-13388.79737573921,calibrated_simulator
200,67426.59375,66645.82541671285,72474.2421432423,-8798.954741866508,calibrated_simulator
201,66658.234375,65945.33192355052,71683.21229202909,-6636.748207636421,calibrated_simulator
202,66112.953125,65398.99699130366,71039.04984969397,-4397.592391532622,calibrated_simulator
203,65425.73828125,65280.20138293574,70483.95794988344,-6286.443488280281,calibrated_simulator
204,98025.2578125,98616.62041651481,98871.74994572434,-3391.1692550746575,calibrated_simulator
205,99059.109375,100638.40538184931,99307.96989480978,-1972.7551012998883,calibrated_simulator
206,75655.7265625,92517.94776759052,90705.18859480803,-3797.5138615837936,calibrated_simulator
207,70143.8203125,69778.33207932454,79217.20086625367,-11660.464055450124,calibrated_simulator
208,69416.4453125,66153.19023825193,75671.51467702865,-10968.44082253872,calibrated_simulator
209,68405.7265625,66555.73573374786,74218.74234615853,-13734.450986150605,calibrated_simulator
210,67992.296875,66523.16616879168,72969.80038326055,-13918.621339159645,calibrated_simulator
211,67426.59375,66645.82541671285,72415.75709722872,-9153.262484973835,calibrated_simulator
212,66658.234375,65945.33192355052,71624.40250402852,-6943.730326261388,calibrated_simulator
213,66112.953125,65398.99699130366,70979.74135779387,-4663.591885248168,calibrated_simulator
214,65425.73828125,65280.20138293574,70420.70408231326,-6534.088340025481,calibrated_simulator
215,66060.1484375,64813.61401622843,69863.00599827614,-3835.431632800666,calibrated_simulator
216,99059.109375,100638.40538184931,99845.8898380238,-2187.343222306201,calibrated_simulator
217,75655.7265625,92517.94776759052,90172.25986649639,136.8964476213023,calibrated_simulator
218,70143.8203125,69778.33207932454,78491.99860325851,-10941.64112847001,calibrated_simulator
219,69416.4453125,66153.19023825193,74958.03072741244,-11016.78728545321,calibrated_simulator
220,68405.7265625,66555.73573374786,73540.99466220068,-13899.384632746018,calibrated_simulator
221,67992.296875,66523.16616879168,72321.34020338835,-14140.829002439357,calibrated_simulator
222,67426.59375,66645.82541671285,71800.87541880147,-9411.99113044291,calibrated_simulator
223,66658.234375,65945.33192355052,71038.33172019968,-7089.05376240303,calibrated_simulator
224,66112.953125,65398.99699130366,70414.86227180476,-4693.720145398786,calibrated_simulator
225,65425.73828125,65280.20138293574,69877.63743612927,-6644.5297869975,calibrated_simulator
226,66060.1484375,64813.61401622843,69335.06836906035,-3827.3101574222806,calibrated_simulator
227,65782.8984375,65697.1406053584,69315.17717169979,-6250.723079882435,calibrated_simulator
228,75655.7265625,92517.94776759052,85777.94905992005,-15160.70084295963,calibrated_simulator
229,70143.8203125,69778.33207932454,74980.16294854127,-8609.592578245125,calibrated_simulator
230,69416.4453125,66153.19023825193,72018.0210500086,-9782.703250418172,calibrated_simulator
231,68405.7265625,66555.73573374786,70936.08928133543,-12865.997020606928,calibrated_simulator
232,67992.296875,66523.16616879168,69924.73968982192,-13289.961320799503,calibrated_simulator
233,67426.59375,66645.82541671285,69573.7187591198,-8568.451532996693,calibrated_simulator
234,66658.234375,65945.33192355052,68945.88644921084,-6167.079795524266,calibrated_simulator
235,66112.953125,65398.99699130366,68422.02203291215,-3614.170127081072,calibrated_simulator
236,65425.73828125,65280.20138293574,67979.28065979897,-5751.370184303618,calibrated_simulator
237,66060.1484375,64813.61401622843,67504.3090042032,-2770.483468182696,calibrated_simulator
238,65782.8984375,65697.1406053584,67568.07958220491,-5407.423308093552,calibrated_simulator
239,64293.828125,65133.93114874894,66935.28642513785,-5333.617203979863,calibrated_simulator
240,70143.8203125,69778.33207932454,74792.7019811466,-9693.865492863291,calibrated_simulator
241,69416.4453125,66153.19023825193,71328.31313575571,-9910.431455124151,calibrated_simulator
242,68405.7265625,66555.73573374786,70186.42444963114,-13052.57141482689,calibrated_simulator
243,67992.296875,66523.16616879168,69178.2744853006,-13423.84408030408,calibrated_simulator
244,67426.59375,66645.82541671285,68842.38668054687,-8531.628176359265,calibrated_simulator
245,66658.234375,65945.33192355052,68233.7417734245,-5947.446138286146,calibrated_simulator
246,66112.953125,65398.99699130366,67730.84774746589,-3251.4107612754374,calibrated_simulator
247,65425.73828125,65280.20138293574,67314.05968955957,-5611.584970219542,calibrated_simulator
248,66060.1484375,64813.61401622843,66861.94310687535,-2515.130301884989,calibrated_simulator
249,65782.8984375,65697.1406053584,66960.06524504739,-5367.06798624532,calibrated_simulator
250,64293.828125,65133.93114874894,66354.43322005233,-5293.681136095497,calibrated_simulator
251,63422.0390625,63591.8340577026,65238.55235397091,-3547.113047668944,calibrated_simulator
252,69416.4453125,66153.19023825193,71973.60481302593,-12038.035373475444,calibrated_simulator
253,68405.7265625,66555.73573374786,69516.21349806768,-12038.280899846648,calibrated_simulator
254,67992.296875,66523.16616879168,68448.96382165748,-12750.358064508875,calibrated_simulator
255,67426.59375,66645.82541671285,68185.31994146922,-7978.953420673809,calibrated_simulator
256,66658.234375,65945.33192355052,67643.86733932002,-5316.681765882189,calibrated_simulator
257,66112.953125,65398.99699130366,67196.6145517027,-2568.3893069364167,calibrated_simulator
258,65425.73828125,65280.20138293574,66818.32431260876,-5249.362609658412,calibrated_simulator
259,66060.1484375,64813.61401622843,66401.98819003935,-2064.2864917562692,calibrated_simulator
260,65782.8984375,65697.1406053584,66539.83695141421,-5204.87810049676,calibrated_simulator
261,64293.828125,65133.93114874894,65955.25869409894,-5162.36013164731,calibrated_simulator
262,63422.0390625,63591.8340577026,64846.968898472885,-3381.0135402894666,calibrated_simulator
263,62554.40625,62675.86776495813,64094.58235510942,-2719.9498747788566,calibrated_simulator
264,68405.7265625,66555.73573374786,69250.50868979897,-12285.159065406939,calibrated_simulator
265,67992.296875,66523.16616879168,67351.15249024185,-12093.542786865833,calibrated_simulator
266,67426.59375,66645.82541671285,67175.46012284214,-7369.967984958479,calibrated_simulator
267,66658.234375,65945.33192355052,66778.99837313396,-4583.685177318151,calibrated_simulator
268,66112.953125,65398.99699130366,66438.46317374395,-1838.3505170842373,calibrated_simulator
269,65425.73828125,65280.20138293574,66128.69900721431,-5065.042071775866,calibrated_simulator
270,66060.1484375,64813.61401622843,65768.48425710897,-1789.5078959693428,calibrated_simulator
271,65782.8984375,65697.1406053584,65962.62795863442,-5284.44193424843,calibrated_simulator
272,64293.828125,65133.93114874894,65412.90353248894,-5257.042223856114,calibrated_simulator
273,63422.0390625,63591.8340577026,64322.9543656492,-3419.963037269399,calibrated_simulator
274,62554.40625,62675.86776495813,63589.90356123412,-2729.947778957935,calibrated_simulator
275,62425.10546875,62243.85801248342,63269.332712892356,-5126.804124928913,calibrated_simulator
276,67992.296875,66523.16616879168,66827.61318097962,-6134.381782656571,calibrated_simulator
277,67426.59375,66645.82541671285,66167.24028622036,-7461.059251730838,calibrated_simulator
278,66658.234375,65945.33192355052,65948.13016019188,-3817.7675898474963,calibrated_simulator
279,66112.953125,65398.99699130366,65779.3349499546,-952.9518921643137,calibrated_simulator
280,65425.73828125,65280.20138293574,65563.57245934679,-4855.829045537668,calibrated_simulator
281,66060.1484375,64813.61401622843,65275.35051278876,-1497.7361296016888,calibrated_simulator
282,65782.8984375,65697.1406053584,65528.789387557874,-5391.329916158456,calibrated_simulator
283,64293.828125,65133.93114874894,65011.56272879428,-5376.482588186034,calibrated_simulator
284,63422.0390625,63591.8340577026,63936.44178626333,-3482.683451730806,calibrated_simulator
285,62554.40625,62675.86776495813,63219.689247651935,-2764.28674540167,calibrated_simulator
286,62425.10546875,62243.85801248342,62915.042217931004,-5123.862183756009,calibrated_simulator
287,62697.76171875,62094.69052433142,62718.52730910016,-2624.4126612886425,calibrated_simulator
288,67426.59375,66645.82541671285,65883.45567943102,-2571.157383037601,calibrated_simulator
289,66658.234375,65945.33192355052,65199.518114731836,-2979.2794074025455,calibrated_simulator
290,66112.953125,65398.99699130366,65230.74137246805,507.09628822255786,calibrated_simulator
291,65425.73828125,65280.20138293574,65155.34876826002,-4027.27787436521,calibrated_simulator
292,66060.1484375,64813.61401622843,64968.29995633283,-710.146981773557,calibrated_simulator
293,65782.8984375,65697.1406053584,65281.19437552108,-5022.37506507798,calibrated_simulator
294,64293.828125,65133.93114874894,64790.381120513186,-5083.231018821132,calibrated_simulator
295,63422.0390625,63591.8340577026,63725.120955643266,-3204.568058809774,calibrated_simulator
296,62554.40625,62675.86776495813,63018.69217214531,-2505.884715424304,calibrated_simulator
297,62425.10546875,62243.85801248342,62724.54065998386,-4910.991781754547,calibrated_simulator
298,62697.76171875,62094.69052433142,62541.40606713365,-2425.2036573108003,calibrated_simulator
299,62434.265625,62499.294950720054,62584.523725756764,-4760.546436789144,calibrated_simulator
300,66658.234375,65945.33192355052,64625.352494278406,1090.3128051505269,calibrated_simulator
301,66112.953125,65398.99699130366,64378.60747749279,616.8482563211193,calibrated_simulator
302,65425.73828125,65280.20138293574,64488.37642658827,-3596.565714253774,calibrated_simulator
303,66060.1484375,64813.61401622843,64467.43663243542,17.73671661799608,calibrated_simulator
304,65782.8984375,65697.1406053584,64871.2270218688,-4778.72544219021,calibrated_simulator
305,64293.828125,65133.93114874894,64426.03124888349,-4888.402273860624,calibrated_simulator
306,63422.0390625,63591.8340577026,63385.378749195406,-3019.202947173908,calibrated_simulator
307,62554.40625,62675.86776495813,62699.22277035499,-2343.854306607114,calibrated_simulator
308,62425.10546875,62243.85801248342,62422.07613717204,-4758.51685514744,calibrated_simulator
309,62697.76171875,62094.69052433142,62256.99142015892,-2276.1975728064813,calibrated_simulator
310,62434.265625,62499.294950720054,62317.35103621531,-4638.380549923952,calibrated_simulator
311,62015.9140625,62179.84876439471,61979.152890160025,-4375.503814957004,calibrated_simulator
312,66112.953125,65398.99699130366,63705.675807918735,-3158.454092937901,calibrated_simulator
313,65425.73828125,65280.20138293574,63649.187537415964,-5057.587322484071,calibrated_simulator
314,66060.1484375,64813.61401622843,63885.78213589011,653.6514229122563,calibrated_simulator
315,65782.8984375,65697.1406053584,64436.116607855765,-4446.997513673784,calibrated_simulator
316,64293.828125,65133.93114874894,64058.892882115855,-4556.639066114136,calibrated_simulator
317,63422.0390625,63591.8340577026,63052.73341799113,-2735.5862726396626,calibrated_simulator
318,62554.40625,62675.86776495813,62391.58991890613,-2127.585606785882,calibrated_simulator
319,62425.10546875,62243.85801248342,62133.35626866986,-4603.500613203076,calibrated_simulator
320,62697.76171875,62094.69052433142,61988.91144332967,-2114.480093246173,calibrated_simulator
321,62434.265625,62499.294950720054,62067.41676431946,-4530.099456290145,calibrated_simulator
322,62015.9140625,62179.84876439471,61742.811644682115,-4255.687275451273,calibrated_simulator
323,61817.25390625,61699.513896667704,61332.23758334963,-3138.717422727056,calibrated_simulator
324,65425.73828125,65280.20138293574,62972.753246041975,1911.9542628669424,calibrated_simulator
