epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,smoothness,total_loss
1,mw_shoulder_2016_seed_33_Transformer-MSE,0.8751662075519562,0.439110666513443,0.439110666513443,normalized_state_mse,0.8751662075519562,0.0,0.0,0.0,0.0,0.0,0.0,0.8751662075519562
2,mw_shoulder_2016_seed_33_Transformer-MSE,0.4898395375771956,0.22845163444677988,0.22845163444677988,normalized_state_mse,0.4898395375771956,0.0,0.0,0.0,0.0,0.0,0.0,0.4898395375771956
3,mw_shoulder_2016_seed_33_Transformer-MSE,0.3696704479781064,0.13950665295124054,0.13950665295124054,normalized_state_mse,0.3696704479781064,0.0,0.0,0.0,0.0,0.0,0.0,0.3696704479781064
4,mw_shoulder_2016_seed_33_Transformer-MSE,0.31701165302233264,0.11451636254787445,0.11451636254787445,normalized_state_mse,0.31701165302233264,0.0,0.0,0.0,0.0,0.0,0.0,0.31701165302233264
5,mw_shoulder_2016_seed_33_Transformer-MSE,0.28798274289477954,0.11246168861786525,0.11246168861786525,normalized_state_mse,0.28798274289477954,0.0,0.0,0.0,0.0,0.0,0.0,0.28798274289477954
6,mw_shoulder_2016_seed_33_Transformer-MSE,0.2734489142894745,0.11785304794708888,0.11785304794708888,normalized_state_mse,0.2734489142894745,0.0,0.0,0.0,0.0,0.0,0.0,0.2734489142894745
7,mw_shoulder_2016_seed_33_Transformer-MSE,0.2645278708501296,0.10389332969983418,0.10389332969983418,normalized_state_mse,0.2645278708501296,0.0,0.0,0.0,0.0,0.0,0.0,0.2645278708501296
8,mw_shoulder_2016_seed_33_Transformer-MSE,0.2603039172562686,0.11879894385735194,0.11879894385735194,normalized_state_mse,0.2603039172562686,0.0,0.0,0.0,0.0,0.0,0.0,0.2603039172562686
9,mw_shoulder_2016_seed_33_Transformer-MSE,0.2537231526591561,0.10403233766555786,0.10403233766555786,normalized_state_mse,0.2537231526591561,0.0,0.0,0.0,0.0,0.0,0.0,0.2537231526591561
10,mw_shoulder_2016_seed_33_Transformer-MSE,0.24938721006566827,0.09212148934602737,0.09212148934602737,normalized_state_mse,0.24938721006566827,0.0,0.0,0.0,0.0,0.0,0.0,0.24938721006566827
11,mw_shoulder_2016_seed_33_Transformer-MSE,0.24331968209960245,0.10484268267949422,0.10484268267949422,normalized_state_mse,0.24331968209960245,0.0,0.0,0.0,0.0,0.0,0.0,0.24331968209960245
12,mw_shoulder_2016_seed_33_Transformer-MSE,0.23486492986028845,0.10238619893789291,0.10238619893789291,normalized_state_mse,0.23486492986028845,0.0,0.0,0.0,0.0,0.0,0.0,0.23486492986028845
