epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,heat_loss_residual,smoothness,total_loss
1,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,343.56568908691406,176.07371520996094,2.30233097076416,normalized_state_mse,3.38699011369185,340.17869706587356,0.8549859903075478,0.1599762737751007,25.72913308577104,0.2656576403162696,6.036247990348122,4.585576138713143,343.56568908691406
2,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,105.76510377363725,35.61345990498861,1.7543754577636719,normalized_state_mse,2.756168018687855,103.00893644853072,6.156179298054088,0.16752500628883188,18.945526643232867,0.2277177165855061,5.179427146911621,18.267395886507902,105.76510377363725
3,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,31.009217869151723,22.09543736775716,0.9052559733390808,normalized_state_mse,1.9395855014974421,28.755813772028144,16.431091395291414,0.17539713193069806,11.299279126253994,0.45913849906487897,3.73743538423018,32.45231975208629,31.009217869151723
4,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,19.768925406716086,6.342534065246582,0.2724620799223582,normalized_state_mse,1.1200662526217373,18.356613159179688,6.312295003370806,0.2539137371561744,7.907900290055708,1.4194312745874578,1.7992912910201333,14.690584009343928,19.768925406716086
5,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,8.55294218930331,5.423348744710286,0.2399067630370458,normalized_state_mse,0.6908641322092577,7.577448628165505,2.5895850333300503,0.9675494703379545,6.867851235649803,4.243203033100475,0.7927980829368938,8.591662927107377,8.55294218930331
6,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,5.642965143377131,1.1716554760932922,0.20360062023003897,normalized_state_mse,0.6230562356385317,4.667601151899858,2.598173509944569,0.8645742806521329,6.786023009907115,3.6396842436356978,0.7897616462274031,5.018492698669434,5.642965143377131
7,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,4.474170663140037,0.6629838248093923,0.16722335666418076,normalized_state_mse,0.5899736231023615,3.5893685167486016,1.8624028292569248,0.8964223753322255,6.462137135592374,2.569014776836742,0.7551928243853829,4.2590387951244,4.474170663140037
8,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,3.9240503311157227,0.6057068705558777,0.1689324602484703,normalized_state_mse,0.5689151205799796,3.0797233364798804,1.7067436521703547,0.8764905116774819,6.298326622356068,2.16014010255987,0.7271603481336073,3.541038014672019,3.9240503311157227
9,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,3.8913524367592554,0.526556521654129,0.15767012039820352,normalized_state_mse,0.5474611764604395,3.071054610339078,1.5818328098817305,0.9603206027637828,6.493530836972323,2.022691336545077,0.7287444309754805,3.43072602965615,3.8913524367592554
10,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,3.656011624769731,0.8241699934005737,0.18965283036231995,normalized_state_mse,0.5319685719229958,2.844785040075129,1.7945981134067883,0.9286300810900602,6.2851644862781875,2.2079731876199897,0.7070954577489332,3.220280322161588,3.656011624769731
11,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,3.4973729090257124,0.5753948191801707,0.15289236108462015,normalized_state_mse,0.5254010856151581,2.688920584591952,1.8092707937413997,0.9490204047073018,6.337371436032382,2.3647214716131035,0.7157468877055428,3.2110349265011875,3.4973729090257124
12,mw_winter_2016_seed_22_Proposed PI-GNN-GRU-v3 balanced_mode,3.3651328086853027,0.570244550704956,0.15585979570945105,normalized_state_mse,0.5081614350730722,2.582130193710327,1.7266492735255847,0.9577870531515642,6.215116890993985,2.2376426458358765,0.682534553787925,3.1697939959439365,3.3651328086853027
