heat_loss_U_W_m2K,effective_velocity_factor,flow_proxy_blend,friction_factor,objective,return_RMSE_C,energy_residual_percent,mean_outlet_supply_C,mean_heat_loss_kW,thermal_delay_h,mean_head_drop_m,mean_flow_m3_s,near_optimal
0.1,1.55,0.9875870467977457,0.02,1.7477205716896989,1.6130198528725457,1.5147346268139446,80.48170773006109,422.90591603345337,3.5499828375055653,85.13702279908694,0.4424799777056483,True
0.15948799868096672,1.4886404641210718,0.9805886290054894,0.02,1.777960155111043,1.6558372795379344,1.3848456366541018,80.4077245542527,673.5542618997194,3.5535173678283862,84.95151466626972,0.4420398619733879,True
0.11656325753350695,1.4435550171224132,0.9482402085097421,0.02,1.7892311926130644,1.675751039197552,1.2692306200715602,80.44178710121683,491.85909134849965,3.5699467187919525,84.09810889775622,0.44000553804524123,True
0.19878943475137884,1.4896993463927348,0.989724080273837,0.02,1.7921496901307312,1.6696369646686855,1.4008318087745846,80.36779528293816,839.3484894378888,3.548904935958109,85.19373172771299,0.44261437123303043,True
0.14757446954098102,1.3774525029367206,0.9689064394806458,0.02,1.7950743679157453,1.6950052793661148,1.1186877879134576,80.39207138121175,622.8462120656282,3.5594331296321178,84.64254897837839,0.4413051937169684,True
0.16753270801285264,1.4283356249490384,0.9701544934952036,0.02,1.7961525426291842,1.6857667485987071,1.2477405494223088,80.38368387543767,706.9924436920646,3.558800186087219,84.67551546554523,0.4413836812012574,True
0.15338735229829598,1.406886976739759,0.9605043928695439,0.02,1.8003370933405254,1.6940721664516327,1.1945314797808757,80.39356572364977,647.1375541607857,3.5637000468586764,84.42087325661662,0.440776806729152,True
0.1776714172848823,1.5497384381441717,0.9563481441365653,0.02,1.8017124817058714,1.6675727483675473,1.5317076947191122,80.40418684484335,749.4785830989981,3.5658145511769894,84.31138314973545,0.44051542901366386,True
0.15115894243810477,1.4149253061461955,0.9554212455992841,0.02,1.80303010388937,1.6952349892560608,1.2120370098235258,80.39817181806696,637.6364210390861,3.5662864559004963,84.28698042954595,0.44045713831988476,True
0.18713702409502,1.4318209551421437,0.9680444675642108,0.02,1.808243391209749,1.6972608141975538,1.2604465110537457,80.36374366243383,789.405629970932,3.5598704052814774,84.6197863837028,0.44125098612141594,True
0.11900828202816183,1.528534170142316,0.931613409471755,0.02,1.8100727456287842,1.67967392343091,1.4704625997768361,80.45782511717114,501.8935783446705,3.5784505092013994,83.66206262869719,0.43895991372686344,True
0.1919702567302434,1.4870011073580758,0.9566135256080865,0.02,1.8164751349926256,1.6948890448765377,1.3877338826415777,80.37361640396779,809.4674938602531,3.5656794625458743,84.3183709318389,0.4405321182946033,True
0.20256496044728778,1.3503986117103546,0.9771645667811439,0.02,1.823920176706204,1.7300593594306697,1.0597502220091113,80.32247970634887,854.3562369553545,3.5552492458236817,84.8608663247364,0.44182452992292914,True
0.11873738107023923,1.2745168939831784,0.9514439850277822,0.02,1.8282469406952169,1.747587997204094,0.87682225721403,80.39613041606184,500.862229066824,3.568312786654206,84.18233216308187,0.44020701679230834,True
0.14877281406146114,1.26888406885284,0.9730279991813287,0.02,1.8292236448404262,1.7501290837883694,0.8669635463596335,80.35850763307735,627.7930877252347,3.557343759324788,84.75145490541541,0.44156438991238967,True
0.21185563551677863,1.513775814371305,0.9528238034713703,0.02,1.830221196193102,1.703060710027655,1.4592633740872007,80.36028071463244,892.9667978219614,3.567609537321577,84.21862602675395,0.44029379066359087,True
0.13242288985567513,1.4463852285957155,0.9249826120895652,0.02,1.8364535328491858,1.7223488785811476,1.281624716771336,80.42529578357367,558.0665274368336,3.581853146820476,83.48865836191897,0.4385429168667214,False
0.2092730740263158,1.2921888265986352,0.9853617611804444,0.02,1.84241255011313,1.75942100689913,0.9312564496418749,80.29462873297967,882.6804824945893,3.5511059488002163,85.0780029418026,0.4423400341872675,False
0.1471089291806178,1.2706375021489575,0.9538619593593994,0.02,1.8434796074207929,1.7641783752044313,0.8689730941576786,80.36083154500281,620.2739834959297,3.56708060517653,84.24594102134463,0.4403590780974685,False
0.1550108234903492,1.3915619781168909,0.9302922198041574,0.02,1.8477834325487021,1.7449983312700101,1.1534278313190647,80.38698912436732,653.0624967255708,3.5791279706104238,83.62748937287549,0.4388768268956295,False
0.2749759610231268,1.535260397361049,0.9645025756369812,0.02,1.8509329227005205,1.7185277204832297,1.5377325105791877,80.30342125382539,1158.5738599014496,3.561668324265128,84.52630331911504,0.4410282440094968,False
0.16477678262449488,1.296058060403944,0.9455261943908307,0.02,1.8524351804780022,1.7682415378476561,0.9332702467015355,80.34782303497748,694.3568202450956,3.5713320423441037,84.02681208718522,0.43983485942233425,False
0.144762448520234,1.4473605102210985,0.9194182829821115,0.02,1.8560636123739385,1.7419218528513811,1.2857464416299476,80.41223199371986,609.7950174771709,3.5847135166522563,83.34336006117411,0.438192987946734,False
0.2287080018444639,1.4240665822687895,0.9510902269800396,0.02,1.8568482581808279,1.7472513361965816,1.255225007793875,80.31652467080642,963.3629418948902,3.5684931304724405,84.17302909278379,0.4401847696949147,False
0.31415596857978595,1.4931330521699846,0.9782651159151136,0.02,1.8656320401296167,1.7404308598269527,1.4625836835372859,80.25015623681185,1323.4115217028284,3.554692408078102,84.88999401764637,0.44189374113642965,False
0.24772187658861852,1.318666504344992,0.9713484176614566,0.02,1.8681414791099582,1.7808992867651543,0.992143782368561,80.25948270419296,1043.5800182553548,3.5581949048224653,84.70706144720779,0.4414587645735699,False
0.21416547674524533,1.4772904163368539,0.9343549996512347,0.02,1.8687924040752164,1.7491496241604862,1.370663179603128,80.34747120576661,901.8198235191068,3.5770455323467663,83.7338408358197,0.43913232655004975,False
0.10212741853982515,1.4629370706657556,0.89981781450714,0.02,1.8737475207807393,1.756120692752051,1.31414481323333,80.46110294255995,430.13510272415357,3.594825722371074,82.83311654940684,0.43696035583022125,False
0.16901803690350825,1.4560300385391838,0.917688924263264,0.02,1.8757168502118664,1.7603228420747983,1.3076850810247513,80.38878846594396,711.650163906567,3.5856034325120234,83.29824247918948,0.4380842322248723,False
0.26188065111186953,1.4259269775416041,0.9535037125766573,0.02,1.876159643688645,1.7657511389668443,1.2735177002440958,80.28148242763946,1102.614044076762,3.5672631113314712,84.23651438763531,0.4403365487129995,False
0.22319729959693183,1.4670076791430835,0.933920629988637,0.02,1.877288293974503,1.7597429733981802,1.3481966909032579,80.33507740554123,939.664151648647,3.5772680592832993,83.72246530732953,0.4391050099582427,False
0.37491163468613564,1.514736980359115,0.9893386608701455,0.02,1.8915771268347445,1.7590570637051188,1.5634478948318506,80.19685157692805,1578.7853085066677,3.54909928984975,85.18350197590793,0.4425901330197487,False
0.34097163749242054,1.5415669702775765,0.9656572813273827,0.02,1.8920411020106105,1.756049579921683,1.5962730410289603,80.23972598128609,1435.3037598124956,3.5610819783526444,84.55677129939255,0.4411008610145916,False
0.23063890336449278,1.2734825950682112,0.9573837444213338,0.02,1.896388900028244,1.8170815805791836,0.8923055856965947,80.26153299288272,971.1399208350028,3.5652874516636737,84.3386541724712,0.4405805557310433,False
0.1304448294697183,1.0539214259348486,0.9689679698538396,0.02,1.8994299266463752,1.8664856970316273,0.29615275931545104,80.30145401795913,550.0811701030782,3.5594019195746487,84.64417402799796,0.44130906323234437,False
0.1362731010988253,1.1631199034846929,0.941062231023325,0.02,1.900152262943916,1.8439519389553858,0.5843645804927627,80.33759818020263,574.1473017659299,3.573612938507509,83.9096465065618,0.43955413018258416,False
0.23345193463889258,1.3009053251459408,0.9439618440858922,0.02,1.9038070870957162,1.8191988445470857,0.9570635927232861,80.26830357212683,982.4798720866511,3.572131027613874,83.98573814324632,0.43973648073154903,False
