epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,heat_loss_residual,smoothness,total_loss
1,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,104.91078063935944,1.0214939692190714,0.218829372631652,normalized_state_mse,1.7485357148177696,103.16224480397773,11.104477513242852,0.45475317029790446,20.669397513071697,3.4309219725881563,5.247339028300661,5.328616722966686,104.91078063935944
2,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,3.8029512094728872,0.4643427090985434,0.1458753219672612,normalized_state_mse,0.5588487145124059,3.2441024816397466,18.00397455331051,1.0761600412202603,9.823258035110705,4.7869356653907085,1.273949131595366,4.142454114827243,3.8029512094728872
3,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,3.2363503557263,0.5974214364375386,0.20933850269232476,normalized_state_mse,0.4875856749713421,2.597402856205449,7.10372012311762,1.1309523437962388,8.535597718123233,2.9267033446918833,1.081001980286656,3.3706798083854443,3.2363503557263
4,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,3.213625987370809,1.6045453463281905,0.13944749906659126,normalized_state_mse,0.457522001907681,2.4740855025522634,6.535702539212776,1.1042679932081338,7.8487865708091045,3.246272477236661,0.9880662655288522,3.1694787993575586,3.213625987370809
5,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,3.1404682506214487,0.5140405999762672,0.16642776610595839,normalized_state_mse,0.4355079664876967,2.3121952559008743,5.96096219438495,1.104695204984058,7.385592576229211,3.2359487215677896,0.8870668159515569,2.9205394260811084,3.1404682506214487
6,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,3.1537709904439524,0.4862968187247004,0.11522926869136947,normalized_state_mse,0.4234699077452674,2.283931603937438,4.51724673762466,1.134395344690843,7.306956190051454,2.8567889748197612,0.8942451725403467,2.8339611779559744,3.1537709904439524
7,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.7012488480770225,1.14036511523383,0.14694175443478993,normalized_state_mse,0.4106948021234888,1.8480841788378628,4.6859514243675005,1.1115745486635151,6.816967758265409,2.745845563483961,0.8469680757685141,2.7346603075663247,2.7012488480770225
8,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.7452243078838694,0.6628983680691037,0.12430063262581825,normalized_state_mse,0.42430510676719924,1.9029934189536355,4.254151066144307,1.1171465796051603,6.673326170805729,2.825087104782914,0.8075427995486693,2.6164994149497063,2.7452243078838694
9,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.4690984397223503,0.4326113409229687,0.15907797909208707,normalized_state_mse,0.3870488776627815,1.6569387696006082,4.6645241470047925,1.1089406745000319,6.113567861643705,2.7359278509111116,0.7211270278150385,2.5727738232323616,2.4690984397223503
10,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.4139238848830713,0.3578461546983038,0.09852898493409157,normalized_state_mse,0.40330446285731864,1.615326815482342,4.005741021849892,1.1186682789614706,6.367215552113273,2.422460787224047,0.8726661385911884,2.4673208070523813,2.4139238848830713
11,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.1537765860557556,0.4269995870334761,0.08081084702696119,normalized_state_mse,0.3700175130683364,1.4048960371450945,3.9105268066579644,1.1228965398940174,5.836087768728083,2.520459254582723,0.7101952871589949,2.370092115618966,2.1537765860557556
12,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.0384818134885845,0.38129236336265293,0.07974285605762686,normalized_state_mse,0.3624866675924171,1.310353327881206,3.6759597677173037,1.1167763417417353,5.7575401284477925,2.5436477769504893,0.762289254954367,2.2596241922089546,2.0384818134885845
13,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,2.011120566816041,0.3093553440911429,0.09548365244907993,normalized_state_mse,0.3447914345923698,1.3086936735745631,3.7623343684456567,1.1205679616241744,5.237106036056172,2.4921099146207175,0.6390226455123136,2.2107966072631604,2.011120566816041
14,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.863578164216244,0.47268649509974886,0.08480187518788236,normalized_state_mse,0.34467454773910117,1.150734824664665,3.976233041647709,1.1259371164170178,5.119980259375139,2.732795578060728,0.6392594495731773,2.143650804505204,1.863578164216244
15,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.8055336412155267,0.4211888068488666,0.10151959609772478,normalized_state_mse,0.3269978432041226,1.1301998965667956,3.786705732345581,1.1168890672199654,4.71683410803477,2.604166803034869,0.5813200308969526,2.094260708852248,1.8055336412155267
16,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.7374993923938635,0.43601267146212713,0.07977846983288016,normalized_state_mse,0.3409951420105768,1.0484736281813998,3.734067490606597,1.1154928108056386,4.914607315352469,2.36903184020158,0.6695384195808208,2.067904369397597,1.7374993923938635
17,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.6677791160164457,0.34452806945358005,0.07385761344007083,normalized_state_mse,0.31844780616688007,1.0081866211963422,3.8180475740721733,1.1364705201351282,4.385360723192042,2.4004742349639083,0.5604888178182371,2.039207920883641,1.6677791160164457
18,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.5929870343569554,0.5716933395181384,0.07250853175563472,normalized_state_mse,0.30675339941499813,0.9393813844883081,3.95957088470459,1.113068943673914,4.179493264718489,2.7587868372599282,0.5494617119318608,1.9879997806115584,1.5929870343569554
19,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.5993208614262668,0.2765852361917496,0.072157460930092,normalized_state_mse,0.30913406734665233,0.9323769464637294,4.222712195280827,1.1059533750469035,4.351292489152966,2.242207884788513,0.5588638346755144,1.9037207979144473,1.5993208614262668
20,seed_33_Proposed PI-GNN-GRU-v3 balanced_mode,1.5203693689722004,0.5468486377171108,0.08477209721292768,normalized_state_mse,0.2966744616966356,0.9058990487546632,3.6621493245616104,1.1394388192530833,3.7782789342331164,2.2148930665218467,0.4837882071733475,1.8694431167660337,1.5203693689722004
