variant,causal_operational_candidate,current_heat_load_used,current_return_target_used,features,n_samples,RMSE_C,MAE_C,Bias_C,MaxAE_C,state_type,interpretation
past_return_no_load,True,False,False,intercept; supply_temp_C; hour_sin; hour_cos; year_sin; year_cos; return_temp_C[k-1]; ambient_temp_C[k],2761,0.18459148943186943,0.12307667636986798,0.008680500155755312,2.3379217761173194,real_measured_node,primary causal: current supply/ambient and measured return history
past_return_lagged_load,True,False,False,intercept; supply_temp_C; hour_sin; hour_cos; year_sin; year_cos; return_temp_C[k-1]; log1p_heat_load_kw[k-1]; ambient_temp_C[k],2761,0.1906147424813568,0.12332578967261443,0.010671779441198532,2.299158623898613,real_measured_node,primary causal with heat load available only through k-1
past_return_current_load,True,True,False,intercept; supply_temp_C; hour_sin; hour_cos; year_sin; year_cos; return_temp_C[k-1]; log1p_heat_load_kw[k]; ambient_temp_C[k],2761,0.19447694318894485,0.1254826782666351,0.011630319090716271,2.3342336048730843,real_measured_node,diagnostic using current heat-load signal; possible target-derived information
oracle_current_return,False,True,True,intercept; supply_temp_C; hour_sin; hour_cos; year_sin; year_cos; return_temp_C[k-1]; log1p_heat_load_kw[k]; ambient_temp_C[k]; return_temp_C[k] (oracle leakage),2761,2.6669808385557557e-09,1.7208280609959807e-09,1.595482974679522e-10,3.2010504469326406e-08,real_measured_node,invalid oracle containing the prediction target; reported only to expose leakage
