quantity,minimum,median,maximum,range,relative_range_percent,evidence_class
$U$ (W m$^{-2}$ K$^{-1}$),0.1,0.15643767548963133,0.21185563551677863,0.11185563551677863,71.50172435551971,effective calibration
velocity factor (-),1.26888406885284,1.4376879861322784,1.55,0.28111593114716005,19.55333381503928,effective calibration
flow-proxy blend (-),0.931613409471755,0.9642744302168773,0.989724080273837,0.05811067080208199,6.0263623073581005,effective calibration
return RMSE ($^\circ$C),1.6130198528725457,1.694480605664085,1.7501290837883694,0.13710923091582372,8.091519634837553,calibrated-simulator/simulator-assisted internal output
outlet supply ($^\circ$C),80.32247970634887,80.39281855243075,80.48170773006109,0.15922802371221678,0.198062496848983,calibrated-simulator/simulator-assisted internal output
heat loss (kW),422.90591603345337,660.3459080302525,892.9667978219614,470.0608817885081,71.18403795226865,calibrated-simulator/simulator-assisted internal output
thermal delay (h),3.548904935958109,3.561785226070077,3.5784505092013994,0.029545573243290324,0.829515857021218,calibrated-simulator/simulator-assisted internal output
head drop (m),83.66206262869719,84.5203298201597,85.19373172771299,1.5316690990158008,1.8121901585983502,calibrated-simulator/simulator-assisted internal output
flow (m$^3$ s$^{-1}$),0.43895991372686344,0.441013896425284,0.44261437123303043,0.003654457506166997,0.8286490597663356,calibrated-simulator/simulator-assisted internal output
