model,training_time_s,training_time_s_seed_std,inference_time_ms,inference_time_ms_seed_std,parameter_count
GRU-MSE,42.62310608001426,10.73102171850807,4.745910006264845,2.0176068894452444,74580.0
Proposed PI-GNN-GRU-v3 accuracy_mode,668.382952899998,117.46876277570182,98.87247999043514,33.58758118939027,94600.0
Proposed PI-GNN-GRU-v3 balanced_mode,592.5878501200117,75.8352347576205,96.78982999563837,36.420224068909334,94600.0
Transformer-MSE,60.07350257998333,6.63233309494582,4.810144996736199,2.1786119182596226,57812.0
