condition,model,sensor_layout,noise_std_fraction,RMSE_Ts_supply_C,RMSE_Tr_return_C,RMSE_head_m,RMSE_flow_m3_s,heat_loss_error_percent,energy_balance_residual,boundary_residual_mean,state_type,note
heat_load_noise_plus_5pct,GRU-MSE,S4_five_sensors,0.0,0.299515962600708,1.8024253845214844,7.055349826812744,0.03030029870569706,1.180884539587759,8.070362626061456,0.14021994173526764,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_5pct,Transformer-MSE,S4_five_sensors,0.0,0.4738985300064087,1.5727065801620483,5.028939247131348,0.021353483200073242,0.9518497467452388,6.85191211256988,0.0481586679816246,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_5pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.3015827536582947,1.3694177865982056,2.651702880859375,0.022540196776390076,0.8523710950201382,7.092831304604127,0.12621520459651947,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
heat_load_noise_plus_5pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.31723636388778687,1.6091123819351196,3.777376890182495,0.024047132581472397,1.1126059053349957,5.552825533249883,0.17203813791275024,real_measured_node + simulator_assisted_hidden_state,heat-load feature perturbation diagnostic
missing_middle_sensor,GRU-MSE,S2_inlet_outlet,0.0,0.3404853045940399,1.3949073553085327,7.762319564819336,0.013297186233103275,0.7961408828346669,6.814748543350596,0.20915398001670837,real_measured_node + simulator_assisted_hidden_state,middle sensor removed
missing_middle_sensor,Transformer-MSE,S2_inlet_outlet,0.0,0.611976683139801,2.2062132358551025,10.450057029724121,0.050100091844797134,1.5606495658488235,9.868450980222827,0.08515797555446625,real_measured_node + simulator_assisted_hidden_state,middle sensor removed
missing_middle_sensor,Proposed PI-GNN-GRU-v3 accuracy_mode,S2_inlet_outlet,0.0,0.30767786502838135,1.3893585205078125,6.359959125518799,0.011647372506558895,0.8262727175631512,7.2303021644524845,0.12561772763729095,real_measured_node + simulator_assisted_hidden_state,middle sensor removed
missing_middle_sensor,Proposed PI-GNN-GRU-v3 balanced_mode,S2_inlet_outlet,0.0,0.31777188181877136,1.5680760145187378,3.2307887077331543,0.012760933488607407,1.0368164450481814,5.444182790668632,0.17423215508460999,real_measured_node + simulator_assisted_hidden_state,middle sensor removed
outlet_sensor_dropout,GRU-MSE,S1_inlet_only,0.0,0.35027313232421875,1.4155179262161255,11.831124305725098,0.016550717875361443,0.7569161207919026,7.500317168086623,0.21858207881450653,real_measured_node + simulator_assisted_hidden_state,outlet sensor unavailable
outlet_sensor_dropout,Transformer-MSE,S1_inlet_only,0.0,0.7278503775596619,2.7605671882629395,13.9849271774292,0.06697719544172287,2.2134730146009662,11.545607628569199,0.1018705666065216,real_measured_node + simulator_assisted_hidden_state,outlet sensor unavailable
outlet_sensor_dropout,Proposed PI-GNN-GRU-v3 accuracy_mode,S1_inlet_only,0.0,0.30993837118148804,1.4300745725631714,40.29867172241211,0.012014985084533691,0.8410073604761963,8.330205211229282,0.12550890445709229,real_measured_node + simulator_assisted_hidden_state,outlet sensor unavailable
outlet_sensor_dropout,Proposed PI-GNN-GRU-v3 balanced_mode,S1_inlet_only,0.0,0.32090047001838684,1.6031098365783691,41.555885314941406,0.012158412486314774,1.0451314043390396,3.397157198925913,0.17409074306488037,real_measured_node + simulator_assisted_hidden_state,outlet sensor unavailable
biased_return_temperature_plus_2C,GRU-MSE,S4_five_sensors,0.0,0.30812427401542664,1.6881940364837646,4.070459365844727,0.015468754805624485,1.029298166841878,8.151155984135944,0.13524353504180908,real_measured_node + simulator_assisted_hidden_state,return-temperature sensor bias diagnostic
biased_return_temperature_plus_2C,Transformer-MSE,S4_five_sensors,0.0,0.4817909002304077,1.5535937547683716,3.633101224899292,0.015615720301866531,0.9766599574111946,7.549112681030722,0.045291271060705185,real_measured_node + simulator_assisted_hidden_state,return-temperature sensor bias diagnostic
biased_return_temperature_plus_2C,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.3025447726249695,1.5968585014343262,2.266408920288086,0.010861294344067574,1.0471342440100522,6.05127377274907,0.12935110926628113,real_measured_node + simulator_assisted_hidden_state,return-temperature sensor bias diagnostic
biased_return_temperature_plus_2C,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.31718680262565613,1.7063462734222412,3.8576481342315674,0.014301623217761517,1.2021958123805176,5.558707619408083,0.17727360129356384,real_measured_node + simulator_assisted_hidden_state,return-temperature sensor bias diagnostic
heat_loss_U_W_m2K_80pct,GRU-MSE,S4_five_sensors,0.0,0.3093039393424988,1.6332579851150513,4.032553672790527,0.01519010215997696,0.9678747829358023,8.048791299609757,0.1345219761133194,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 0.8
heat_loss_U_W_m2K_80pct,Transformer-MSE,S4_five_sensors,0.0,0.47845259308815,1.5248658657073975,3.5900886058807373,0.015490349382162094,0.9669657884354558,7.54464084356791,0.04411911964416504,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 0.8
heat_loss_U_W_m2K_80pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.30955180525779724,1.219563603401184,2.285090208053589,0.010610786266624928,0.6813444361457475,6.997978229528526,0.12556731700897217,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 0.8
heat_loss_U_W_m2K_80pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.31333988904953003,1.5031882524490356,3.8818016052246094,0.013481047004461288,0.9778580672906119,5.430987507074609,0.1743847131729126,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 0.8
heat_loss_U_W_m2K_120pct,GRU-MSE,S4_five_sensors,0.0,0.30439096689224243,1.6642200946807861,4.032145023345947,0.015185981057584286,1.0123592537797532,8.047372253588833,0.13454116880893707,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 1.2
heat_loss_U_W_m2K_120pct,Transformer-MSE,S4_five_sensors,0.0,0.4681025743484497,1.5368069410324097,3.590040683746338,0.015492333099246025,0.9631728114625409,7.546435419848121,0.0440996028482914,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 1.2
heat_loss_U_W_m2K_120pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.30601951479911804,1.236491084098816,2.2858123779296875,0.010625793598592281,0.7119291606107776,6.997079743839005,0.12565112113952637,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 1.2
heat_loss_U_W_m2K_120pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.31715336441993713,1.5306196212768555,3.881897449493408,0.013463216833770275,1.0215758257923602,5.4213660638999395,0.17431578040122986,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: heat_loss_U_W_m2K x 1.2
friction_factor_80pct,GRU-MSE,S4_five_sensors,0.0,0.30805954337120056,1.5554065704345703,10.987091064453125,0.013089239597320557,0.8943125695949532,8.152637919094527,0.13531626760959625,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 0.8
friction_factor_80pct,Transformer-MSE,S4_five_sensors,0.0,0.4689152240753174,1.504668116569519,9.036766052246094,0.016292229294776917,0.9773185971871293,7.688803474999817,0.045443709939718246,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 0.8
friction_factor_80pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.3078687787055969,1.2078191041946411,2.502770185470581,0.010640081018209457,0.6704541246808166,7.7751068942585375,0.1483723670244217,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 0.8
friction_factor_80pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.3156853914260864,1.483032464981079,2.6195592880249023,0.013017219491302967,0.9632341407993428,6.210809562557414,0.18483273684978485,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 0.8
friction_factor_120pct,GRU-MSE,S4_five_sensors,0.0,0.3062584102153778,1.7422455549240112,7.3439459800720215,0.01772855408489704,1.0945146158829615,7.940677888659513,0.13433332741260529,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 1.2
friction_factor_120pct,Transformer-MSE,S4_five_sensors,0.0,0.4789923429489136,1.573068618774414,8.889313697814941,0.016040580347180367,0.9585950774753816,7.341628199758871,0.043554846197366714,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 1.2
friction_factor_120pct,Proposed PI-GNN-GRU-v3 accuracy_mode,S4_five_sensors,0.0,0.3084564507007599,1.2441176176071167,3.1394381523132324,0.01073229406028986,0.7175483703278344,6.009056992685345,0.11311120539903641,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 1.2
friction_factor_120pct,Proposed PI-GNN-GRU-v3 balanced_mode,S4_five_sensors,0.0,0.31489741802215576,1.5453438758850098,5.385578155517578,0.014074016362428665,1.0305251469291392,4.388447543238031,0.16960535943508148,real_measured_node + simulator_assisted_hidden_state,parameter uncertainty diagnostic: friction_factor x 1.2
