model,n_seeds,RMSE_Ts_full_mean,RMSE_Ts_full_std,RMSE_Tr_full_mean,RMSE_Tr_full_std,heat_loss_error_percent_mean,heat_loss_error_percent_std,energy_balance_residual_mean,energy_balance_residual_std,boundary_residual_mean_mean,boundary_residual_mean_std
GRU-MSE,5,0.194178107380867,0.005434692279687166,0.7388909935951233,0.07302481512571095,0.44380562828886394,0.04398508231121127,4.27942713292169,0.3761486828700516,0.07044337019324302,0.01755001547134218
Proposed PI-GNN-GRU-v3 accuracy_mode,5,0.19313448369503022,0.005906735037976229,0.6377142071723938,0.06357388834335001,0.40061042440841677,0.07614766603237783,2.358254783586419,0.3544577456553161,0.09651193916797637,0.005593741141850049
Proposed PI-GNN-GRU-v3 balanced_mode,5,0.18720988631248475,0.003509875477217926,0.7678050398826599,0.028648036259337005,0.4883622203525939,0.030527348736483585,1.0738292991142662,0.12306553426971789,0.10674047023057938,0.01515404017620929
Transformer-MSE,5,0.18600993156433104,0.011387361474678217,0.7836419939994812,0.05429596862725673,0.5100662728557794,0.048198625061902256,2.805890085256439,0.5816214126950697,0.03135064244270325,0.014832119277668828
