epoch,model,train_loss,val_loss,selection_loss,selection_metric,state_mse,real_sensor_mse,thermal_residual,hydraulic_residual,boundary_residual,energy_residual,heat_loss_residual,smoothness,total_loss
1,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,137.8928548639471,81.9146499633789,2.9691917101542153,normalized_state_mse,3.509902672334151,134.38295260342684,1.7239417216994546,22.45979222384366,3840.2303355823865,0.17237391932444138,12.661993633617055,3.835009125145999,137.8928548639471
2,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,55.33177358453924,27.360366185506184,2.3920439084370932,normalized_state_mse,2.909127647226507,52.42264591563832,12.60847655209628,22.697228691794656,2739.8936878551135,0.18750464645299045,11.031509486111728,15.306884332136674,55.33177358453924
3,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,24.712039774114434,17.050733248392742,1.0379718542099,normalized_state_mse,1.9507213072343306,20.662308779629793,32.88610562411222,22.226367256858133,1614.6158669211648,0.6660612848672,7.4017510847611865,23.7900748686357,24.712039774114434
4,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,17.441424543207344,8.82412338256836,0.500336209932963,normalized_state_mse,0.8744326233863831,13.822481848976828,11.679006793282248,15.176506562666459,1072.0093605735085,3.3044520724903452,1.90874291008169,5.8150717561895195,17.441424543207344
5,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,9.278716087341309,7.829255898793538,0.5494444866975149,normalized_state_mse,0.6427083286372098,4.889857508919456,7.802607753060081,2.9769272858446296,983.5934337269176,6.1341094970703125,0.9192742813717235,5.372896736318415,9.278716087341309
6,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,7.975620269775391,5.370374361673991,0.3851582407951355,normalized_state_mse,0.5776814872568304,3.1150335615331475,6.631380037827925,1.3770822340791875,843.7284046519886,6.242955988103693,0.8575420542196794,4.67341568253257,7.975620269775391
7,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,6.498929673975164,3.5107458432515464,0.29148097336292267,normalized_state_mse,0.46407632394270465,2.464438048276034,8.37424594705755,1.1750587224960327,698.6938504305753,6.809791564941406,0.7866606983271512,4.192703658884222,6.498929673975164
8,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,4.741221622987227,1.2084604303042095,0.19273311893145242,normalized_state_mse,0.3816323659636758,2.205091790719466,9.834413701837713,1.267140887000344,413.4095764160156,6.488164381547407,0.5971104231747714,4.071879105134443,4.741221622987227
9,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,3.617087884382768,0.9530530571937561,0.1079762230316798,normalized_state_mse,0.3142849802970886,1.731824744831432,10.155332045121627,1.334136421030218,296.1269128972834,7.027888037941673,0.43641837347637524,4.046059738505971,3.617087884382768
10,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,3.430733702399514,1.0530645648638408,0.11186154931783676,normalized_state_mse,0.28151972727342084,1.6607287688688799,9.567096190019088,1.3548432371833108,280.6760919744318,6.306027889251709,0.43782438202337787,3.8980505683205346,3.430733702399514
11,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,3.0676994757218794,0.8828909397125244,0.1017136499285698,normalized_state_mse,0.26258082552389667,1.523005561395125,9.125666444951838,1.2904023257168857,239.97239130193537,7.0012547319585625,0.3728070177815177,3.8537770184603604,3.0676994757218794
12,mw_shoulder_2016_seed_22_Proposed PI-GNN-GRU-v3 accuracy_mode,3.0667137666182085,1.4862435261408489,0.12682791550954184,normalized_state_mse,0.26228354464877734,1.5635428645394065,8.757835128090598,1.2467268705368042,232.38575883345172,6.623469786210493,0.38882681456479157,3.768961689688943,3.0667137666182085
